item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
establish_danny,danny,establish,262,low_prior,Danny is a diabetic,block2,0,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.19069652940813503,-0.3720849420849421,0.9980694980694981,0.0019305019305019305
establish_danny,danny,establish,367,low_prior,Danny is a diabetic,block2,0.94,0.79,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.19069652940813503,0.5679150579150578,0.7888803088803089,0.9383011583011582
establish_danny,danny,establish,580,high_prior,Danny loves cake,block2,0.83,0.88,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.24732139632810057,0.4579150579150579,0.8785328185328185,0.8287258687258686
establish_emily,emily,establish,151,high_prior,Emily has been saving for a year,block2,0.02000000000000001,0.02,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.07887429511617783,-0.35208494208494207,0.021853281853281854,0.021853281853281864
establish_emily,emily,establish,160,high_prior,Emily has been saving for a year,block2,0.47,0.02,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.07887429511617783,0.09791505791505789,0.021853281853281854,0.4701158301158301
establish_emily,emily,establish,188,high_prior,Emily has been saving for a year,block2,0.13,0.11,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.07887429511617783,-0.24208494208494208,0.1115057915057915,0.13142857142857142
establish_emily,emily,establish,249,high_prior,Emily has been saving for a year,block2,0.85,0.12,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.07887429511617783,0.4779150579150579,0.12146718146718145,0.8486486486486485
establish_emily,emily,establish,268,low_prior,Emily never has any money,block2,0.5800000000000001,0.38,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.31078785551322263,0.207915057915058,0.3804633204633205,0.5796911196911197
establish_emily,emily,establish,335,high_prior,Emily has been saving for a year,block2,0.03000000000000002,0.25,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.07887429511617783,-0.34208494208494206,0.25096525096525096,0.03181467181467183
establish_emily,emily,establish,396,high_prior,Emily has been saving for a year,block2,0.13,0.07,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.07887429511617783,-0.24208494208494208,0.07166023166023167,0.13142857142857142
establish_emily,emily,establish,439,low_prior,Emily never has any money,block2,0.63,0.52,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.31078785551322263,0.2579150579150579,0.5199227799227799,0.6294980694980694
establish_emily,emily,establish,503,low_prior,Emily never has any money,block2,0.97,0.05,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.31078785551322263,0.5979150579150578,0.051737451737451735,0.9681853281853281
establish_emma,emma,establish,49,high_prior,Emma is in law school,block2,0.92,0.35,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.7071824480369515,0.6921200923787528,0.7232806004618938,0.2689404640833619,0.547915057915058,0.35057915057915057,0.9183783783783784
establish_emma,emma,establish,120,low_prior,Emma is in first grade,block2,0.26,0.19,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,0.2759353348729792,0.25364896073903004,0.2978083140877599,-0.16230664908061038,-0.11208494208494207,0.1911969111969112,0.2609266409266409
establish_emma,emma,establish,144,low_prior,Emma is in first grade,block2,0.6,0.09,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,0.2759353348729792,0.25364896073903004,0.2978083140877599,-0.16230664908061038,0.2279150579150579,0.09158301158301158,0.5996138996138995
establish_emma,emma,establish,250,low_prior,Emma is in first grade,block2,0.08999999999999997,0.07,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,0.2759353348729792,0.25364896073903004,0.2978083140877599,-0.16230664908061038,-0.2820849420849421,0.07166023166023167,0.09158301158301155
establish_emma,emma,establish,251,high_prior,Emma is in law school,block2,0.74,0.43,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.7071824480369515,0.6921200923787528,0.7232806004618938,0.2689404640833619,0.3679150579150579,0.43027027027027026,0.739073359073359
establish_emma,emma,establish,272,high_prior,Emma is in law school,block2,0,0,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.7071824480369515,0.6921200923787528,0.7232806004618938,0.2689404640833619,-0.3720849420849421,0.0019305019305019305,0.0019305019305019305
establish_emma,emma,establish,322,low_prior,Emma is in first grade,block2,0.24,0.38,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,0.2759353348729792,0.25364896073903004,0.2978083140877599,-0.16230664908061038,-0.1320849420849421,0.3804633204633205,0.24100386100386098
establish_emma,emma,establish,428,high_prior,Emma is in law school,block2,0.77,0.12,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.7071824480369515,0.6921200923787528,0.7232806004618938,0.2689404640833619,0.39791505791505793,0.12146718146718145,0.7689575289575289
establish_emma,emma,establish,437,low_prior,Emma is in first grade,block2,0.29000000000000004,0.18,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,0.2759353348729792,0.25364896073903004,0.2978083140877599,-0.16230664908061038,-0.08208494208494205,0.18123552123552122,0.29081081081081084
establish_emma,emma,establish,450,high_prior,Emma is in law school,block2,0.30000000000000004,0.57,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.7071824480369515,0.6921200923787528,0.7232806004618938,0.2689404640833619,-0.07208494208494204,0.5697297297297297,0.3007722007722008
establish_emma,emma,establish,457,high_prior,Emma is in law school,block2,0.06000000000000005,0.22,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.7071824480369515,0.6921200923787528,0.7232806004618938,0.2689404640833619,-0.31208494208494203,0.22108108108108107,0.06169884169884175
establish_emma,emma,establish,493,high_prior,Emma is in law school,block2,0.74,0.52,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.7071824480369515,0.6921200923787528,0.7232806004618938,0.2689404640833619,0.3679150579150579,0.5199227799227799,0.739073359073359
establish_emma,emma,establish,518,high_prior,Emma is in law school,block2,0.97,0.96,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.7071824480369515,0.6921200923787528,0.7232806004618938,0.2689404640833619,0.5979150579150578,0.9582239382239381,0.9681853281853281
establish_emma,emma,establish,532,low_prior,Emma is in first grade,block2,0.49,0.49,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,0.2759353348729792,0.25364896073903004,0.2978083140877599,-0.16230664908061038,0.11791505791505791,0.49003861003861005,0.49003861003861005
establish_frank,frank,establish,26,low_prior,Frank is allergic to cats,block2,0.49,0.02,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,0.12691764705882352,0.11072941176470588,0.14491764705882354,-0.3113243368947661,0.11791505791505791,0.021853281853281854,0.49003861003861005
establish_frank,frank,establish,91,low_prior,Frank is allergic to cats,block2,0.09999999999999998,0.1,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,0.12691764705882352,0.11072941176470588,0.14491764705882354,-0.3113243368947661,-0.2720849420849421,0.10154440154440154,0.10154440154440152
establish_frank,frank,establish,201,low_prior,Frank is allergic to cats,block2,0.15000000000000002,0.32,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,0.12691764705882352,0.11072941176470588,0.14491764705882354,-0.3113243368947661,-0.22208494208494206,0.3206949806949807,0.15135135135135136
establish_frank,frank,establish,228,low_prior,Frank is allergic to cats,block2,0.45,0.09,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,0.12691764705882352,0.11072941176470588,0.14491764705882354,-0.3113243368947661,0.07791505791505793,0.09158301158301158,0.4501930501930502
establish_frank,frank,establish,229,high_prior,Frank has always wanted a pet,block2,0,0.02,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.6529478458049887,0.6366853741496599,0.6679852607709751,0.21470586185139906,-0.3720849420849421,0.021853281853281854,0.0019305019305019305
establish_frank,frank,establish,312,low_prior,Frank is allergic to cats,block2,0.01,0.01,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,0.12691764705882352,0.11072941176470588,0.14491764705882354,-0.3113243368947661,-0.3620849420849421,0.011891891891891892,0.011891891891891892
establish_frank,frank,establish,390,low_prior,Frank is allergic to cats,block2,0.43999999999999995,0.38,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,0.12691764705882352,0.11072941176470588,0.14491764705882354,-0.3113243368947661,0.06791505791505786,0.3804633204633205,0.44023166023166016
establish_frank,frank,establish,397,high_prior,Frank has always wanted a pet,block2,0,0.27,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.6529478458049887,0.6366853741496599,0.6679852607709751,0.21470586185139906,-0.3720849420849421,0.27088803088803093,0.0019305019305019305
establish_frank,frank,establish,430,high_prior,Frank has always wanted a pet,block2,0.52,0.98,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.6529478458049887,0.6366853741496599,0.6679852607709751,0.21470586185139906,0.14791505791505793,0.9781467181467182,0.5199227799227799
establish_frank,frank,establish,486,low_prior,Frank is allergic to cats,block2,0,0.82,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,0.12691764705882352,0.11072941176470588,0.14491764705882354,-0.3113243368947661,-0.3720849420849421,0.8187644787644787,0.0019305019305019305
establish_frank,frank,establish,502,high_prior,Frank has always wanted a pet,block2,0,1,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.6529478458049887,0.6366853741496599,0.6679852607709751,0.21470586185139906,-0.3720849420849421,0.9980694980694981,0.0019305019305019305
