item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
confess_emily,emily,confess,41,high_prior,Emily has been saving for a year,block1,0.9,0.25,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.05217815525961372,0.2720746887966805,0.25103734439834025,0.8984555984555985
confess_emily,emily,confess,66,high_prior,Emily has been saving for a year,block1,0.98,0.03,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.05217815525961372,0.35207468879668047,0.031950207468879666,0.9781467181467182
confess_emily,emily,confess,220,low_prior,Emily never has any money,block1,1,0,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.3374839953697867,0.3720746887966805,0.002074688796680498,0.9980694980694981
confess_emily,emily,confess,328,low_prior,Emily never has any money,block1,0.95,0.75,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.3374839953697867,0.32207468879668044,0.7489626556016598,0.9482625482625482
confess_emily,emily,confess,332,low_prior,Emily never has any money,block1,0.38,0.68,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.3374839953697867,-0.2479253112033195,0.679253112033195,0.3804633204633205
confess_emily,emily,confess,344,low_prior,Emily never has any money,block1,0.42,0.21,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.3374839953697867,-0.20792531120331953,0.2112033195020747,0.4203088803088803
confess_emily,emily,confess,452,low_prior,Emily never has any money,block1,0.64,0.39,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.3374839953697867,0.0120746887966805,0.39045643153526977,0.6394594594594595
confess_emily,emily,confess,507,high_prior,Emily has been saving for a year,block1,1,0.4,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.05217815525961372,0.3720746887966805,0.4004149377593361,0.9980694980694981
confess_emily,emily,confess,562,high_prior,Emily has been saving for a year,block1,0.27,0.72,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.5171162790697674,0.4958133720930232,0.5382331395348836,0.05217815525961372,-0.3579253112033195,0.7190871369294605,0.27088803088803093
confess_emily,emily,confess,569,low_prior,Emily never has any money,block1,0.24,0.49,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.3374839953697867,-0.3879253112033195,0.4900414937759336,0.24100386100386098
confess_emma,emma,confess,13,high_prior,Emma is in law school,block1,0.03000000000000002,0.56,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.7071824480369515,0.6921200923787528,0.7232806004618938,0.2422443242267978,-0.5979253112033195,0.55975103734439835,0.03181467181467183
confess_emma,emma,confess,39,high_prior,Emma is in law school,block1,0.9,0.1,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.7071824480369515,0.6921200923787528,0.7232806004618938,0.2422443242267978,0.2720746887966805,0.1016597510373444,0.8984555984555985
confess_emma,emma,confess,42,high_prior,Emma is in law school,block1,0.97,0.02,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.7071824480369515,0.6921200923787528,0.7232806004618938,0.2422443242267978,0.34207468879668046,0.021991701244813276,0.9681853281853281
confess_emma,emma,confess,104,low_prior,Emma is in first grade,block1,0.01,0.58,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,0.2759353348729792,0.25364896073903004,0.2978083140877599,-0.18900278893717448,-0.6179253112033195,0.5796680497925311,0.011891891891891892
