predicate,winning.model,elpd_diff,se_diff
acknowledge,m.beta,331,38
admit,m.beta,264,34
announce,m.beta,300,36
be.annoyed,m.beta,625,47
be.right,m.beta,531,44
confess,m.beta,297,36
confirm,m.beta,391,40
demonstrate,m.beta,224,32
discover,m.beta,337,38
establish,m.beta,388,40
hear,m.beta,412,40
inform,m.beta,420,41
know,m.beta,575,45
pretend,m.beta,541,45
prove,m.beta,352,39
reveal,m.beta,326,37
say,m.beta,427,41
see,m.beta,443,42
suggest,m.beta,389,40
think,m.beta,369,40
