block,predicate,hypothesisNEG,estimateNEG,post.probNEG,bfNEG
_projai.,acknowledge,cprior < 0,1.0142568346473602,3.333333333333333e-4,3.3344448149383126e-4
_projai.,acknowledge,cai < 0,1.1419268022071767,1.6666666666666666e-4,1.666944490748458e-4
_projai.,acknowledge,cprior:cai < 0,-0.45609102735160495,0.7480833333333333,2.969566655640093
_projai.,admit,cprior < 0,0.8160823924524708,0.010833333333333335,0.010951979780960405
_projai.,admit,cai < 0,0.7324077648753079,0.003333333333333333,0.0033444816053511705
_projai.,admit,cprior:cai < 0,0.1368504019486963,0.41591666666666666,0.7120844628334998
_projai.,announce,cprior < 0,0.9070524756805374,0.012499999999999999,0.012658227848101266
_projai.,announce,cai < 0,0.7409264128826402,0.0015,0.0015022533800701052
_projai.,announce,cprior:cai < 0,-0.9872119076519097,0.9118333333333334,10.342155009451796
_projai.,be.annoyed,cprior < 0,1.911521263179094,0,0
_projai.,be.annoyed,cai < 0,1.6752622767313996,0,0
_projai.,be.annoyed,cprior:cai < 0,2.863110423905272,0.004416666666666667,0.004436260148991378
_projai.,be.right,cprior < 0,1.4910471189710701,0,0
_projai.,be.right,cai < 0,0.813429222632839,0.012583333333333334,0.012743691450755337
_projai.,be.right,cprior:cai < 0,1.488428564778452,0.06175,0.06581401545430322
_projai.,confess,cprior < 0,0.8282090566820252,0.005416666666666667,0.005446166736489317
_projai.,confess,cai < 0,0.84582213145217,0.0015833333333333333,0.0015858442534012185
_projai.,confess,cprior:cai < 0,-0.039995309209144986,0.5214166666666666,1.0895002611875326
_projai.,confirm,cprior < 0,0.8701206857665794,4.166666666666667e-4,4.1684035014589413e-4
_projai.,confirm,cai < 0,0.5810841787510846,0.028999999999999998,0.029866117404737384
_projai.,confirm,cprior:cai < 0,-0.19430030228332296,0.6064166666666667,1.5407579928011856
_projai.,demonstrate,cprior < 0,0.7260679363954897,0.006416666666666667,0.0064581061813302025
_projai.,demonstrate,cai < 0,0.5934766810079228,0.044000000000000004,0.04602510460251046
_projai.,demonstrate,cprior:cai < 0,-0.5715119214670658,0.80225,4.056890012642225
_projai.,discover,cprior < 0,0.9084238399460928,0.001916666666666667,0.0019203473323870753
_projai.,discover,cai < 0,1.1797298439829678,8.333333333333333e-5,8.33402783565297e-5
_projai.,discover,cprior:cai < 0,0.13863547220559197,0.42424999999999996,0.7368649587494572
_projai.,establish,cprior < 0,1.289492479654972,8.333333333333333e-5,8.33402783565297e-5
_projai.,establish,cai < 0,0.3119342678042948,0.1369166666666667,0.15863667085063243
_projai.,establish,cprior:cai < 0,-0.3096085539339385,0.6585,1.9282576866764276
_projai.,hear,cprior < 0,0.8617099446526828,0.0015,0.0015022533800701052
_projai.,hear,cai < 0,1.4851652786101002,0,0
_projai.,hear,cprior:cai < 0,-1.532866859638683,0.9878333333333333,81.1917808219178
_projai.,inform,cprior < 0,1.0970963775940972,2.5e-4,2.5006251562890725e-4
_projai.,inform,cai < 0,1.3758344660276,0,0
_projai.,inform,cprior:cai < 0,-1.0797811905553363,0.91675,11.012012012012011
_projai.,know,cprior < 0,1.5971864814229388,0,0
_projai.,know,cai < 0,1.8652109733691886,0,0
_projai.,know,cprior:cai < 0,0.46500452136081877,0.27391666666666664,0.37725238149890966
_projai.,pretend,cprior < 0,1.0887217600898922,1.6666666666666666e-4,1.666944490748458e-4
_projai.,pretend,cai < 0,-1.267561265323948,0.99975,3999
_projai.,pretend,cprior:cai < 0,1.7563803424879751,0.022,0.022494887525562373
_projai.,prove,cprior < 0,1.20307405820645,8.333333333333333e-5,8.33402783565297e-5
_projai.,prove,cai < 0,0.48418812147149365,0.038,0.0395010395010395
_projai.,prove,cprior:cai < 0,-0.013718589809049171,0.5093333333333333,1.0380434782608696
_projai.,reveal,cprior < 0,0.621022740011971,0.013999999999999999,0.014198782961460446
_projai.,reveal,cai < 0,0.561161450380263,0.013333333333333332,0.013513513513513514
_projai.,reveal,cprior:cai < 0,0.3221104422177427,0.3100833333333333,0.4494504167169948
_projai.,say,cprior < 0,1.1835821839114737,9.999999999999998e-4,0.001001001001001001
_projai.,say,cai < 0,-0.39905087681885254,0.9405,15.806722689075631
_projai.,say,cprior:cai < 0,1.0649182475763534,0.07391666666666666,0.07981643120669486
_projai.,see,cprior < 0,0.9157560203342365,7.500000000000001e-4,7.505629221916438e-4
_projai.,see,cai < 0,1.4737729479307744,1.6666666666666666e-4,1.666944490748458e-4
_projai.,see,cprior:cai < 0,-2.1355187088295358,0.998,499
_projai.,suggest,cprior < 0,1.3314742816749165,0,0
_projai.,suggest,cai < 0,-0.2810529049855028,0.873,6.874015748031496
_projai.,suggest,cprior:cai < 0,-0.35459295517196715,0.6770833333333334,2.096774193548387
_projai.,think,cprior < 0,1.2205244842680385,0,0
_projai.,think,cai < 0,-0.2558094770356606,0.8243333333333334,4.692599620493358
_projai.,think,cprior:cai < 0,-1.0195862058057017,0.9026666666666666,9.273972602739725
_aiproj.,acknowledge,cprior < 0,0.36157967841248345,0.11133333333333334,0.12528132033008252
_aiproj.,acknowledge,cai < 0,1.1983435508613969,1.6666666666666666e-4,1.666944490748458e-4
_aiproj.,acknowledge,cprior:cai < 0,-0.9300158098174581,0.9098333333333334,10.090573012939002
_aiproj.,admit,cprior < 0,0.5456889909506968,0.02875,0.029601029601029602
_aiproj.,admit,cai < 0,0.9430212041765682,0.0030833333333333333,0.0030928696815180137
_aiproj.,admit,cprior:cai < 0,0.3985154346886144,0.27675,0.3826477704804701
_aiproj.,announce,cprior < 0,0.7699301950086934,0.00575,0.0057832537088257484
_aiproj.,announce,cai < 0,0.7933343983714147,9.999999999999998e-4,0.001001001001001001
_aiproj.,announce,cprior:cai < 0,-0.3142188146946705,0.6801666666666667,2.1266284523189163
_aiproj.,be.annoyed,cprior < 0,0.039603572620820274,0.45699999999999996,0.8416206261510129
_aiproj.,be.annoyed,cai < 0,2.507975271281693,0,0
_aiproj.,be.annoyed,cprior:cai < 0,-2.1833037882490305,0.96775,30.007751937984494
_aiproj.,be.right,cprior < 0,1.0163790017119416,0.0010833333333333335,0.0010845082172353383
_aiproj.,be.right,cai < 0,1.4591000509291534,3.333333333333333e-4,3.3344448149383126e-4
_aiproj.,be.right,cprior:cai < 0,-1.3643191029666513,0.8461666666666666,5.500541711809317
_aiproj.,confess,cprior < 0,0.4613569677959391,0.059583333333333335,0.06335844040762073
_aiproj.,confess,cai < 0,0.8176989903383928,0.013666666666666667,0.013856032443393038
_aiproj.,confess,cprior:cai < 0,-0.33472025027973623,0.6901666666666667,2.2275416890801507
_aiproj.,confirm,cprior < 0,1.0553531450016573,8.333333333333333e-5,8.33402783565297e-5
_aiproj.,confirm,cai < 0,0.9228206181354582,0.0015833333333333333,0.0015858442534012185
_aiproj.,confirm,cprior:cai < 0,-0.7527458762543492,0.8271666666666667,4.785920925747348
_aiproj.,demonstrate,cprior < 0,1.171717459796675,0,0
_aiproj.,demonstrate,cai < 0,-0.031472779021846684,0.5533333333333333,1.2388059701492538
_aiproj.,demonstrate,cprior:cai < 0,0.5282679218822625,0.22816666666666666,0.295616497516735
_aiproj.,discover,cprior < 0,0.3433378359529366,0.10833333333333334,0.12149532710280374
_aiproj.,discover,cai < 0,1.0573835264711882,8.333333333333333e-4,8.340283569641367e-4
_aiproj.,discover,cprior:cai < 0,-0.13676692911236624,0.5724166666666667,1.3387253946599103
_aiproj.,establish,cprior < 0,0.8257956560017251,0.00175,0.001753067868770348
_aiproj.,establish,cai < 0,-0.5158078745207826,0.96475,27.368794326241133
_aiproj.,establish,cprior:cai < 0,1.0311629510808449,0.09833333333333333,0.10905730129390019
_aiproj.,hear,cprior < 0,0.6697472025026443,0.011666666666666665,0.011804384485666104
_aiproj.,hear,cai < 0,1.2239044179158447,0,0
_aiproj.,hear,cprior:cai < 0,1.3517954080225016,0.03783333333333333,0.039320976961718344
_aiproj.,inform,cprior < 0,-0.33830540553990224,0.8756666666666667,7.042895442359249
_aiproj.,inform,cai < 0,1.7455468209949672,0,0
_aiproj.,inform,cprior:cai < 0,0.2907142396993949,0.36491666666666667,0.5745965096444037
_aiproj.,know,cprior < 0,1.0018075331626468,4.166666666666667e-4,4.1684035014589413e-4
_aiproj.,know,cai < 0,1.8776365458048727,8.333333333333333e-5,8.33402783565297e-5
_aiproj.,know,cprior:cai < 0,-0.2285518771216172,0.5993333333333334,1.4958402662229617
_aiproj.,pretend,cprior < 0,0.5187835794788517,0.044500000000000005,0.04657247514390372
_aiproj.,pretend,cai < 0,-1.8335407125204042,1,Inf
_aiproj.,pretend,cprior:cai < 0,1.2708401235728644,0.0835,0.09110747408619749
_aiproj.,prove,cprior < 0,0.722701266128595,0.008333333333333333,0.008403361344537815
_aiproj.,prove,cai < 0,-0.27804125067398583,0.82,4.555555555555555
_aiproj.,prove,cprior:cai < 0,0.13738788452072428,0.43350000000000005,0.76522506619594
_aiproj.,reveal,cprior < 0,0.3400278582470809,0.16574999999999998,0.19868145040455498
_aiproj.,reveal,cai < 0,1.2251013325160784,0,0
_aiproj.,reveal,cprior:cai < 0,-0.6121793013868482,0.81,4.2631578947368425
_aiproj.,say,cprior < 0,0.2292494046205435,0.21808333333333335,0.2789086646062027
_aiproj.,say,cai < 0,-0.043489909374020044,0.5559166666666666,1.251829611559392
_aiproj.,say,cprior:cai < 0,0.6070360019689007,0.25700000000000006,0.34589502018842533
_aiproj.,see,cprior < 0,0.9509995058417291,9.999999999999998e-4,0.001001001001001001
_aiproj.,see,cai < 0,0.7608886688428557,0.003916666666666667,0.003932067263448507
_aiproj.,see,cprior:cai < 0,0.7368747529403252,0.15183333333333335,0.17901355865592455
_aiproj.,suggest,cprior < 0,1.2919408232350458,0,0
_aiproj.,suggest,cai < 0,-0.30887533765376446,0.8686666666666667,6.614213197969543
_aiproj.,suggest,cprior:cai < 0,-0.04312505800376937,0.522,1.0920502092050208
_aiproj.,think,cprior < 0,0.854962326572172,0.0023333333333333335,0.0023387905111927833
_aiproj.,think,cai < 0,-0.8313575689071446,0.9988333333333334,856.1428571428571
_aiproj.,think,cprior:cai < 0,-0.4612062295169353,0.7225833333333334,2.604686091919495
