trigger_class,prior,workerid,rt,Answer.time_in_minutes,trigger,prior_fact,slide_number_in_experiment,response,question_type,content,block,short_trigger
MC,,1,3255,5.719,MC,Muffins are sold at the bakery,17,0,projective,muffins,block1,MC
MC,,1,5404,5.719,MC,Garages are used to store cars and other things,18,0,projective,garage,block1,MC
C,low_prior,1,9220,5.719,be_right,Mia is a nun,19,0.2,projective,mia,block1,be_right
MC,,1,4570,5.719,MC,Hats are worn on the head,20,0.09,projective,hat,block1,MC
C,high_prior,1,6483,5.719,know,Olivia works the third shift,21,1,projective,olivia,block1,know
C,high_prior,1,4231,5.719,say,Jon lives 2 blocks away from work,22,0.16,projective,jon,block1,say
C,high_prior,1,4506,5.719,inform,Mary is taking a prenatal yoga class,23,1,projective,mary,block1,inform
C,high_prior,1,4633,5.719,be_annoyed,Emily has been saving for a year,24,1,projective,emily,block1,be_annoyed
MC,,1,4310,5.719,MC,Pizza is sold at the pizzeria,25,0,projective,pizza,block1,MC
C,low_prior,1,7691,5.719,reveal,Emma is in first grade,26,0.21,projective,emma,block1,reveal
C,low_prior,1,8116,5.719,confess,Josh is a 75-year old man,27,0.12,projective,josh,block1,confess
C,high_prior,1,5075,5.719,confirm,Danny loves cake,28,0,projective,danny,block1,confirm
C,high_prior,1,11001,5.719,acknowledge,Charley lives in Mexico,29,0.85,projective,charley,block1,acknowledge
C,low_prior,1,9094,5.719,admit,Owen lives in New Orleans,30,0.58,projective,owen,block1,admit
MC,,1,5812,5.719,MC,Muffins are sold at the bakery,32,1,ai,muffins,block2,MC
C,low_prior,1,4098,5.719,be_right,Mia is a nun,33,1,ai,mia,block2,be_right
C,low_prior,1,3941,5.719,discover,Tony has been sober for 20 years,34,0,ai,tony,block2,discover
C,high_prior,1,2655,5.719,see,Sophia is a hipster,35,0,ai,sophia,block2,see
C,low_prior,1,3939,5.719,suggest,Grace hates her sister,36,0,ai,grace,block2,suggest
MC,,1,4980,5.719,MC,Many children like ice cream,37,1,ai,kids,block2,MC
C,high_prior,1,6072,5.719,demonstrate,Jayden's car is in the shop,38,0.27,ai,jayden,block2,demonstrate
C,high_prior,1,3890,5.719,confirm,Danny loves cake,39,0.73,ai,danny,block2,confirm
C,high_prior,1,4148,5.719,be_annoyed,Emily has been saving for a year,40,0,ai,emily,block2,be_annoyed
C,low_prior,1,5190,5.719,think,Frank is allergic to cats,41,0.18,ai,frank,block2,think
C,high_prior,1,3993,5.719,know,Olivia works the third shift,42,0,ai,olivia,block2,know
C,low_prior,1,10984,5.719,reveal,Emma is in first grade,43,0.71,ai,emma,block2,reveal
C,high_prior,1,3680,5.719,inform,Mary is taking a prenatal yoga class,44,0,ai,mary,block2,inform
C,low_prior,1,3846,5.719,admit,Owen lives in New Orleans,45,0,ai,owen,block2,admit
C,low_prior,1,3838,5.719,pretend,Josie doesn't have a passport,46,0,ai,josie,block2,pretend
C,low_prior,1,7360,5.719,confess,Josh is a 75-year old man,47,0.64,ai,josh,block2,confess
