trigger_class,prior,workerid,rt,Answer.time_in_minutes,trigger,prior_fact,slide_number_in_experiment,response,question_type,content,block,short_trigger
C,high_prior,5,29405,10.424333333333333,see,Josie loves France,20,0.97,projective,josie,block1,see
C,high_prior,5,12873,10.424333333333333,be_right,Jon lives 2 blocks away from work,21,0.48,projective,jon,block1,be_right
C,low_prior,5,11271,10.424333333333333,demonstrate,Julian is German,22,0.79,projective,julian,block1,demonstrate
C,high_prior,5,17715,10.424333333333333,say,Mia is a college student,23,0.37,projective,mia,block1,say
MC,,5,14151,10.424333333333333,MC,Hats are worn on the head,24,0.1,projective,hat,block1,MC
MC,,5,12109,10.424333333333333,MC,Muffins are sold at the bakery,25,0.08,projective,muffins,block1,MC
C,high_prior,5,14971,10.424333333333333,be_annoyed,Jackson is training for a marathon,26,0.94,projective,jackson,block1,be_annoyed
C,low_prior,5,15250,10.424333333333333,suggest,Owen lives in New Orleans,27,0.28,projective,owen,block1,suggest
C,low_prior,5,7157,10.424333333333333,acknowledge,Mary is a middle school student,28,0.35,projective,mary,block1,acknowledge
C,low_prior,5,8010,10.424333333333333,announce,Sophia is a high end fashion model,29,0.9,projective,sophia,block1,announce
C,high_prior,5,4708,10.424333333333333,discover,Danny loves cake,30,0.94,projective,danny,block1,discover
C,high_prior,5,19829,10.424333333333333,confirm,Josh is a 5-year old boy,32,0.83,ai,josh,block2,confirm
C,low_prior,5,9226,10.424333333333333,reveal,Olivia has two small children,33,0.34,ai,olivia,block2,reveal
MC,,5,4320,10.424333333333333,MC,Pizza is sold at the pizzeria,34,1,ai,pizza,block2,MC
MC,,5,4475,10.424333333333333,MC,Many children like ice cream,35,1,ai,kids,block2,MC
C,high_prior,5,8108,10.424333333333333,pretend,Frank has always wanted a pet,36,0.11,ai,frank,block2,pretend
MC,,5,9393,10.424333333333333,MC,Muffins are sold at the bakery,37,1,ai,muffins,block2,MC
C,low_prior,5,12070,10.424333333333333,establish,Emily never has any money,38,0.7,ai,emily,block2,establish
C,low_prior,5,4527,10.424333333333333,suggest,Owen lives in New Orleans,39,0.34,ai,owen,block2,suggest
MC,,5,5342,10.424333333333333,MC,Garages are used to store cars and other things,40,1,ai,garage,block2,MC
C,high_prior,5,7802,10.424333333333333,prove,Tony really likes to party with his friends,41,0.44,ai,tony,block2,prove
C,low_prior,5,12225,10.424333333333333,acknowledge,Mary is a middle school student,42,0.35,ai,mary,block2,acknowledge
C,low_prior,5,5160,10.424333333333333,announce,Sophia is a high end fashion model,43,0.33,ai,sophia,block2,announce
C,high_prior,5,4708,10.424333333333333,confess,Charley lives in Mexico,44,0.31,ai,charley,block2,confess
C,high_prior,5,4880,10.424333333333333,see,Josie loves France,45,0.18,ai,josie,block2,see
MC,,5,3529,10.424333333333333,MC,Hats are worn on the head,46,1,ai,hat,block2,MC
MC,,5,3189,10.424333333333333,MC,Ballet is a type of dance,47,1,ai,ballet,block2,MC
C,low_prior,5,6392,10.424333333333333,hear,Emma is in first grade,48,0.12,ai,emma,block2,hear
C,low_prior,5,5826,10.424333333333333,demonstrate,Julian is German,49,0.49,ai,julian,block2,demonstrate
C,high_prior,5,9118,10.424333333333333,be_right,Jon lives 2 blocks away from work,50,0.67,ai,jon,block2,be_right
C,high_prior,5,5487,10.424333333333333,discover,Danny loves cake,51,0.46,ai,danny,block2,discover
C,high_prior,5,10907,10.424333333333333,say,Mia is a college student,52,0.47,ai,mia,block2,say
C,high_prior,5,5000,10.424333333333333,inform,Jayden's car is in the shop,53,0.3,ai,jayden,block2,inform
C,low_prior,5,4228,10.424333333333333,admit,Grace hates her sister,54,0.25,ai,grace,block2,admit
C,low_prior,5,7894,10.424333333333333,know,Zoe is 5 years old,55,0.32,ai,zoe,block2,know
C,low_prior,5,6357,10.424333333333333,think,Isabella is a vegetarian,56,0.62,ai,isabella,block2,think
C,high_prior,5,8276,10.424333333333333,be_annoyed,Jackson is training for a marathon,57,0.07,ai,jackson,block2,be_annoyed
C,high_prior,6,20477,13.085466666666667,suggest,Danny loves cake,5,0,ai,danny,block1,suggest
C,high_prior,6,17533,13.085466666666667,prove,Mary is taking a prenatal yoga class,6,0,ai,mary,block1,prove
C,low_prior,6,16821,13.085466666666667,announce,Grace hates her sister,7,0,ai,grace,block1,announce
C,low_prior,6,20176,13.085466666666667,demonstrate,Emma is in first grade,8,0,ai,emma,block1,demonstrate
MC,,6,13152,13.085466666666667,MC,Ballet is a type of dance,9,1,ai,ballet,block1,MC
C,low_prior,6,16913,13.085466666666667,inform,Tony has been sober for 20 years,10,0,ai,tony,block1,inform
MC,,6,6544,13.085466666666667,MC,Pizza is sold at the pizzeria,11,1,ai,pizza,block1,MC
MC,,6,5848,13.085466666666667,MC,Hats are worn on the head,12,1,ai,hat,block1,MC
C,low_prior,6,12728,13.085466666666667,discover,Olivia has two small children,13,0,ai,olivia,block1,discover
C,high_prior,6,24671,13.085466666666667,think,Isabella is from Argentina,14,0,ai,isabella,block1,think
C,low_prior,6,10880,13.085466666666667,hear,Zoe is 5 years old,15,0,ai,zoe,block1,hear
MC,,6,10066,13.085466666666667,MC,Many children like ice cream,16,1,ai,kids,block1,MC
C,low_prior,6,8072,13.085466666666667,see,Frank is allergic to cats,17,0,ai,frank,block1,see
C,low_prior,6,13496,13.085466666666667,pretend,Josh is a 75-year old man,18,0,ai,josh,block1,pretend
C,low_prior,6,16601,13.085466666666667,say,Jayden doesn't have a driver's license,19,0,ai,jayden,block1,say
C,high_prior,6,25399,13.085466666666667,admit,Mia is a college student,20,0,ai,mia,block1,admit
MC,,6,25417,13.085466666666667,MC,Muffins are sold at the bakery,21,1,ai,muffins,block1,MC
C,high_prior,6,6311,13.085466666666667,acknowledge,Sophia is a hipster,22,0,ai,sophia,block1,acknowledge
C,low_prior,6,8777,13.085466666666667,know,Charley lives in Korea,23,0,ai,charley,block1,know
C,high_prior,6,10799,13.085466666666667,be_annoyed,Owen lives in Chicago,24,0,ai,owen,block1,be_annoyed
C,high_prior,6,8646,13.085466666666667,confirm,Julian is Cuban,25,0,ai,julian,block1,confirm
C,low_prior,6,12600,13.085466666666667,establish,Jon lives 10 miles away from work,26,0,ai,jon,block1,establish
C,high_prior,6,16216,13.085466666666667,reveal,Josie loves France,27,0,ai,josie,block1,reveal
C,high_prior,6,18240,13.085466666666667,be_right,Jackson is training for a marathon,28,0,ai,jackson,block1,be_right
C,high_prior,6,18508,13.085466666666667,confess,Emily has been saving for a year,29,0,ai,emily,block1,confess
MC,,6,9888,13.085466666666667,MC,Garages are used to store cars and other things,30,1,ai,garage,block1,MC
C,high_prior,6,10676,13.085466666666667,suggest,Danny loves cake,32,0,projective,danny,block2,suggest
MC,,6,5063,13.085466666666667,MC,Pizza is sold at the pizzeria,33,0,projective,pizza,block2,MC
MC,,6,6281,13.085466666666667,MC,Ballet is a type of dance,34,0,projective,ballet,block2,MC
C,high_prior,6,37719,13.085466666666667,acknowledge,Sophia is a hipster,35,0.72,projective,sophia,block2,acknowledge
MC,,6,5839,13.085466666666667,MC,Hats are worn on the head,36,0,projective,hat,block2,MC
MC,,6,7856,13.085466666666667,MC,Muffins are sold at the bakery,37,0,projective,muffins,block2,MC
C,high_prior,6,17872,13.085466666666667,be_right,Jackson is training for a marathon,38,0,projective,jackson,block2,be_right
C,low_prior,6,8048,13.085466666666667,see,Frank is allergic to cats,39,1,projective,frank,block2,see
MC,,6,9154,13.085466666666667,MC,Many children like ice cream,40,0,projective,kids,block2,MC
C,low_prior,6,19383,13.085466666666667,say,Jayden doesn't have a driver's license,41,0,projective,jayden,block2,say
C,high_prior,6,12240,13.085466666666667,reveal,Josie loves France,42,0,projective,josie,block2,reveal
C,high_prior,6,9912,13.085466666666667,admit,Mia is a college student,43,0.02,projective,mia,block2,admit
C,low_prior,6,13056,13.085466666666667,know,Charley lives in Korea,44,1,projective,charley,block2,know
C,low_prior,6,8704,13.085466666666667,establish,Jon lives 10 miles away from work,45,0,projective,jon,block2,establish
C,low_prior,6,11523,13.085466666666667,pretend,Josh is a 75-year old man,46,0,projective,josh,block2,pretend
C,high_prior,6,9166,13.085466666666667,be_annoyed,Owen lives in Chicago,47,1,projective,owen,block2,be_annoyed
C,low_prior,6,9225,13.085466666666667,demonstrate,Emma is in first grade,48,0,projective,emma,block2,demonstrate
C,low_prior,6,15719,13.085466666666667,hear,Zoe is 5 years old,49,0.99,projective,zoe,block2,hear
C,high_prior,6,6624,13.085466666666667,think,Isabella is from Argentina,50,0,projective,isabella,block2,think
C,low_prior,6,18185,13.085466666666667,inform,Tony has been sober for 20 years,51,0,projective,tony,block2,inform
C,high_prior,6,7871,13.085466666666667,confirm,Julian is Cuban,52,0,projective,julian,block2,confirm
C,high_prior,6,14905,13.085466666666667,prove,Mary is taking a prenatal yoga class,53,1,projective,mary,block2,prove
C,low_prior,6,8376,13.085466666666667,discover,Olivia has two small children,54,1,projective,olivia,block2,discover
MC,,6,7384,13.085466666666667,MC,Garages are used to store cars and other things,55,0,projective,garage,block2,MC
C,low_prior,6,7544,13.085466666666667,announce,Grace hates her sister,56,0,projective,grace,block2,announce
C,high_prior,6,15392,13.085466666666667,confess,Emily has been saving for a year,57,0.74,projective,emily,block2,confess
C,high_prior,7,12784,8.472283333333333,think,Emily has been saving for a year,5,0.87,projective,emily,block1,think
C,high_prior,7,8256,8.472283333333333,establish,Tony really likes to party with his friends,6,0.93,projective,tony,block1,establish
MC,,7,5943,8.472283333333333,MC,Hats are worn on the head,7,0,projective,hat,block1,MC
C,low_prior,7,8541,8.472283333333333,be_annoyed,Mary is a middle school student,8,0.99,projective,mary,block1,be_annoyed
C,high_prior,7,8386,8.472283333333333,discover,Olivia works the third shift,9,0.98,projective,olivia,block1,discover
C,high_prior,7,13212,8.472283333333333,pretend,Zoe is a math major,10,0.02,projective,zoe,block1,pretend
C,high_prior,7,11112,8.472283333333333,prove,Isabella is from Argentina,11,0,projective,isabella,block1,prove
C,low_prior,7,11440,8.472283333333333,suggest,Danny is a diabetic,12,0.03,projective,danny,block1,suggest
C,low_prior,7,9294,8.472283333333333,admit,Frank is allergic to cats,13,1,projective,frank,block1,admit
C,low_prior,7,45647,8.472283333333333,see,Jayden doesn't have a driver's license,14,1,projective,jayden,block1,see
MC,,7,7928,8.472283333333333,MC,Ballet is a type of dance,15,0,projective,ballet,block1,MC
C,high_prior,7,7577,8.472283333333333,acknowledge,Owen lives in Chicago,16,1,projective,owen,block1,acknowledge
C,high_prior,7,5962,8.472283333333333,be_right,Mia is a college student,17,0,projective,mia,block1,be_right
C,low_prior,7,7023,8.472283333333333,hear,Emma is in first grade,18,1,projective,emma,block1,hear
C,high_prior,7,21183,8.472283333333333,demonstrate,Josh is a 5-year old boy,19,1,projective,josh,block1,demonstrate
MC,,7,9081,8.472283333333333,MC,Many children like ice cream,20,0,projective,kids,block1,MC
C,high_prior,7,8225,8.472283333333333,say,Julian is Cuban,21,0,projective,julian,block1,say
C,low_prior,7,6154,8.472283333333333,confirm,Sophia is a high end fashion model,22,0,projective,sophia,block1,confirm
C,low_prior,7,8878,8.472283333333333,announce,Josie doesn't have a passport,23,0.48,projective,josie,block1,announce
MC,,7,9509,8.472283333333333,MC,Muffins are sold at the bakery,24,0,projective,muffins,block1,MC
C,high_prior,7,5696,8.472283333333333,confess,Charley lives in Mexico,25,1,projective,charley,block1,confess
C,low_prior,7,8038,8.472283333333333,know,Grace hates her sister,26,1,projective,grace,block1,know
MC,,7,8708,8.472283333333333,MC,Pizza is sold at the pizzeria,27,0,projective,pizza,block1,MC
MC,,7,6842,8.472283333333333,MC,Garages are used to store cars and other things,28,0,projective,garage,block1,MC
C,low_prior,7,9829,8.472283333333333,inform,Jon lives 10 miles away from work,29,1,projective,jon,block1,inform
C,low_prior,7,7378,8.472283333333333,reveal,Jackson is obese,30,0.47,projective,jackson,block1,reveal
C,low_prior,7,6977,8.472283333333333,reveal,Jackson is obese,32,0.61,ai,jackson,block2,reveal
C,low_prior,7,6236,8.472283333333333,hear,Emma is in first grade,33,0,ai,emma,block2,hear
C,low_prior,7,4185,8.472283333333333,confirm,Sophia is a high end fashion model,34,1,ai,sophia,block2,confirm
C,high_prior,7,8046,8.472283333333333,think,Emily has been saving for a year,35,0,ai,emily,block2,think
C,high_prior,7,5412,8.472283333333333,be_right,Mia is a college student,36,1,ai,mia,block2,be_right
C,low_prior,7,17497,8.472283333333333,announce,Josie doesn't have a passport,37,0,ai,josie,block2,announce
C,high_prior,7,9342,8.472283333333333,confess,Charley lives in Mexico,38,0.37,ai,charley,block2,confess
C,high_prior,7,5632,8.472283333333333,say,Julian is Cuban,39,1,ai,julian,block2,say
C,low_prior,7,11062,8.472283333333333,inform,Jon lives 10 miles away from work,40,0.13,ai,jon,block2,inform
C,low_prior,7,6756,8.472283333333333,know,Grace hates her sister,41,0,ai,grace,block2,know
C,high_prior,7,7766,8.472283333333333,pretend,Zoe is a math major,42,0,ai,zoe,block2,pretend
MC,,7,9550,8.472283333333333,MC,Many children like ice cream,43,1,ai,kids,block2,MC
MC,,7,4135,8.472283333333333,MC,Hats are worn on the head,44,1,ai,hat,block2,MC
C,low_prior,7,11788,8.472283333333333,see,Jayden doesn't have a driver's license,45,0.26,ai,jayden,block2,see
C,high_prior,7,26524,8.472283333333333,demonstrate,Josh is a 5-year old boy,46,0,ai,josh,block2,demonstrate
C,low_prior,7,4178,8.472283333333333,be_annoyed,Mary is a middle school student,47,0,ai,mary,block2,be_annoyed
C,low_prior,7,4779,8.472283333333333,admit,Frank is allergic to cats,48,0.16,ai,frank,block2,admit
C,high_prior,7,7739,8.472283333333333,prove,Isabella is from Argentina,49,0.75,ai,isabella,block2,prove
MC,,7,4773,8.472283333333333,MC,Muffins are sold at the bakery,50,1,ai,muffins,block2,MC
C,low_prior,7,6148,8.472283333333333,suggest,Danny is a diabetic,51,0.78,ai,danny,block2,suggest
MC,,7,2938,8.472283333333333,MC,Pizza is sold at the pizzeria,52,1,ai,pizza,block2,MC
C,high_prior,7,5792,8.472283333333333,acknowledge,Owen lives in Chicago,53,0.14,ai,owen,block2,acknowledge
MC,,7,4661,8.472283333333333,MC,Ballet is a type of dance,54,1,ai,ballet,block2,MC
C,high_prior,7,6107,8.472283333333333,establish,Tony really likes to party with his friends,55,0.51,ai,tony,block2,establish
C,high_prior,7,4817,8.472283333333333,discover,Olivia works the third shift,56,0.05,ai,olivia,block2,discover
MC,,7,3388,8.472283333333333,MC,Garages are used to store cars and other things,57,1,ai,garage,block2,MC
C,low_prior,8,31396,10.393166666666668,be_right,Owen lives in New Orleans,5,0.06,projective,owen,block1,be_right
C,low_prior,8,33782,10.393166666666668,confess,Frank is allergic to cats,6,0.76,projective,frank,block1,confess
C,low_prior,8,22312,10.393166666666668,hear,Emily never has any money,7,0.71,projective,emily,block1,hear
C,high_prior,8,17184,10.393166666666668,think,Mia is a college student,8,0.25,projective,mia,block1,think
C,low_prior,8,11039,10.393166666666668,be_annoyed,Isabella is a vegetarian,9,0.94,projective,isabella,block1,be_annoyed
C,high_prior,8,18280,10.393166666666668,confirm,Julian is Cuban,10,0.33,projective,julian,block1,confirm
C,low_prior,8,17214,10.393166666666668,admit,Zoe is 5 years old,11,0.85,projective,zoe,block1,admit
C,high_prior,8,17855,10.393166666666668,reveal,Olivia works the third shift,12,0.82,projective,olivia,block1,reveal
C,low_prior,8,13137,10.393166666666668,acknowledge,Sophia is a high end fashion model,13,0.82,projective,sophia,block1,acknowledge
MC,,8,12462,10.393166666666668,MC,Hats are worn on the head,14,0.07,projective,hat,block1,MC
C,low_prior,8,17720,10.393166666666668,see,Jayden doesn't have a driver's license,15,0.63,projective,jayden,block1,see
MC,,8,12392,10.393166666666668,MC,Many children like ice cream,16,0.04,projective,kids,block1,MC
C,high_prior,8,14527,10.393166666666668,say,Mary is taking a prenatal yoga class,17,0.09,projective,mary,block1,say
MC,,8,13385,10.393166666666668,MC,Pizza is sold at the pizzeria,18,0.06,projective,pizza,block1,MC
C,low_prior,8,13289,10.393166666666668,demonstrate,Emma is in first grade,19,0.17,projective,emma,block1,demonstrate
C,high_prior,8,15094,10.393166666666668,suggest,Josie loves France,20,0.23,projective,josie,block1,suggest
C,low_prior,8,13953,10.393166666666668,establish,Jon lives 10 miles away from work,21,0.34,projective,jon,block1,establish
MC,,8,9536,10.393166666666668,MC,Ballet is a type of dance,22,0.05,projective,ballet,block1,MC
C,high_prior,8,10919,10.393166666666668,know,Tony really likes to party with his friends,23,0.88,projective,tony,block1,know
C,high_prior,8,8104,10.393166666666668,discover,Grace loves her sister,24,0.89,projective,grace,block1,discover
C,high_prior,8,15896,10.393166666666668,pretend,Josh is a 5-year old boy,25,0.02,projective,josh,block1,pretend
C,high_prior,8,10720,10.393166666666668,announce,Danny loves cake,26,0.64,projective,danny,block1,announce
C,high_prior,8,13192,10.393166666666668,inform,Charley lives in Mexico,27,0.65,projective,charley,block1,inform
C,low_prior,8,6631,10.393166666666668,prove,Jackson is obese,28,0.36,projective,jackson,block1,prove
MC,,8,13969,10.393166666666668,MC,Garages are used to store cars and other things,29,0.11,projective,garage,block1,MC
MC,,8,4879,10.393166666666668,MC,Muffins are sold at the bakery,30,0.02,projective,muffins,block1,MC
C,low_prior,8,20604,10.393166666666668,establish,Jon lives 10 miles away from work,32,0.16,ai,jon,block2,establish
C,low_prior,8,6279,10.393166666666668,prove,Jackson is obese,33,0.19,ai,jackson,block2,prove
C,low_prior,8,6224,10.393166666666668,be_annoyed,Isabella is a vegetarian,34,0,ai,isabella,block2,be_annoyed
C,high_prior,8,4375,10.393166666666668,announce,Danny loves cake,35,0.17,ai,danny,block2,announce
C,low_prior,8,5479,10.393166666666668,acknowledge,Sophia is a high end fashion model,36,0.29,ai,sophia,block2,acknowledge
C,low_prior,8,7728,10.393166666666668,admit,Zoe is 5 years old,37,0.05,ai,zoe,block2,admit
C,high_prior,8,6376,10.393166666666668,reveal,Olivia works the third shift,38,0.18,ai,olivia,block2,reveal
C,high_prior,8,6241,10.393166666666668,discover,Grace loves her sister,39,0.5,ai,grace,block2,discover
C,low_prior,8,7718,10.393166666666668,be_right,Owen lives in New Orleans,40,0.95,ai,owen,block2,be_right
MC,,8,4945,10.393166666666668,MC,Hats are worn on the head,41,0.95,ai,hat,block2,MC
C,high_prior,8,8240,10.393166666666668,confirm,Julian is Cuban,42,0.76,ai,julian,block2,confirm
C,low_prior,8,8696,10.393166666666668,see,Jayden doesn't have a driver's license,43,0.37,ai,jayden,block2,see
MC,,8,5999,10.393166666666668,MC,Muffins are sold at the bakery,44,0.98,ai,muffins,block2,MC
C,low_prior,8,6296,10.393166666666668,confess,Frank is allergic to cats,45,0.19,ai,frank,block2,confess
MC,,8,5687,10.393166666666668,MC,Ballet is a type of dance,46,0.95,ai,ballet,block2,MC
C,low_prior,8,7641,10.393166666666668,demonstrate,Emma is in first grade,47,0.34,ai,emma,block2,demonstrate
C,high_prior,8,7375,10.393166666666668,inform,Charley lives in Mexico,48,0.05,ai,charley,block2,inform
MC,,8,3745,10.393166666666668,MC,Pizza is sold at the pizzeria,49,0.95,ai,pizza,block2,MC
C,high_prior,8,5880,10.393166666666668,pretend,Josh is a 5-year old boy,50,0.09,ai,josh,block2,pretend
C,high_prior,8,6359,10.393166666666668,think,Mia is a college student,51,0.17,ai,mia,block2,think
MC,,8,4928,10.393166666666668,MC,Many children like ice cream,52,0.91,ai,kids,block2,MC
MC,,8,3385,10.393166666666668,MC,Garages are used to store cars and other things,53,0.9,ai,garage,block2,MC
C,low_prior,8,4240,10.393166666666668,hear,Emily never has any money,54,0.16,ai,emily,block2,hear
C,high_prior,8,4983,10.393166666666668,suggest,Josie loves France,55,0.13,ai,josie,block2,suggest
C,high_prior,8,6616,10.393166666666668,say,Mary is taking a prenatal yoga class,56,0.11,ai,mary,block2,say
C,high_prior,8,3601,10.393166666666668,know,Tony really likes to party with his friends,57,0.18,ai,tony,block2,know
