block,predicate,hypothesis,estimate,post.prob,bf
fullData,acknowledge,cprior > 0,0.7074339763856403,0.999375,1599
fullData,acknowledge,caiMean > 0,1.6880115235004558,0.9397916666666668,15.608996539792388
fullData,acknowledge,caiMean:cprior > 0,6.013254393992338,0.9540277777777778,20.75226586102719
fullData,admit,cprior > 0,0.5836196182015994,0.9979861111111111,495.55172413793105
fullData,admit,caiMean > 0,2.185376639950555,0.9738888888888889,37.297872340425535
fullData,admit,caiMean:cprior > 0,0.7349920983543163,0.5851388888888889,1.4104452628054904
fullData,announce,cprior > 0,0.8674450852140083,1,Inf
fullData,announce,caiMean > 0,1.0469725539647272,0.8846527777777778,7.669476219145094
fullData,announce,caiMean:cprior > 0,4.736986106767545,0.9719444444444445,34.64356435643565
fullData,be.annoyed,cprior > 0,0.8872297016688109,1,Inf
fullData,be.annoyed,caiMean > 0,6.338913755851661,1,Inf
fullData,be.annoyed,caiMean:cprior > 0,5.251883778565215,0.904375,9.457516339869281
fullData,be.right,cprior > 0,1.2038005739892623,1,Inf
fullData,be.right,caiMean > 0,1.6826136850502431,0.9350694444444444,14.401069518716577
fullData,be.right,caiMean:cprior > 0,1.62610748502717,0.6734027777777778,2.0618753986816927
fullData,confess,cprior > 0,0.6706625985116677,0.9990277777777777,1027.5714285714287
fullData,confess,caiMean > 0,0.7854820261213566,0.8004861111111111,4.012182387747998
fullData,confess,caiMean:cprior > 0,4.100747879503636,0.9420833333333334,16.26618705035971
fullData,confirm,cprior > 0,0.8871642109064989,0.9793055555555555,47.32214765100671
fullData,confirm,caiMean > 0,3.196298492597645,0.9965277777777778,287
fullData,confirm,caiMean:cprior > 0,4.887055945975245,0.9021527777777778,9.22001419446416
fullData,demonstrate,cprior > 0,1.1375593318669681,0.9999305555555555,14399
fullData,demonstrate,caiMean > 0,1.1334790903871448,0.8104861111111111,4.2766581165262
fullData,demonstrate,caiMean:cprior > 0,4.018012054327059,0.8885416666666666,7.97196261682243
fullData,discover,cprior > 0,0.6504177967803896,0.9995138888888889,2056.1428571428573
fullData,discover,caiMean > 0,0.8907991053681237,0.8771527777777778,7.140192198982476
fullData,discover,caiMean:cprior > 0,-0.4224086112116744,0.4329166666666666,0.7634092578986039
fullData,establish,cprior > 0,1.0641598611225118,1,Inf
fullData,establish,caiMean > 0,-0.1587928268787755,0.4252777777777778,0.7399710004833253
fullData,establish,caiMean:cprior > 0,0.6711887196540974,0.5943055555555556,1.4649092776446422
fullData,hear,cprior > 0,0.7295579764384222,1,Inf
fullData,hear,caiMean > 0,2.2322261161277543,0.9928472222222222,138.80582524271844
fullData,hear,caiMean:cprior > 0,3.2150942126940447,0.8780555555555555,7.2004555808656034
fullData,inform,cprior > 0,0.3712436776321755,0.9670138888888888,29.31578947368421
fullData,inform,caiMean > 0,2.500490123341177,0.9863888888888889,72.46938775510205
fullData,inform,caiMean:cprior > 0,6.835803892893537,0.9784722222222222,45.45161290322581
fullData,know,cprior > 0,0.9765604429271872,1,Inf
fullData,know,caiMean > 0,1.2618791444878117,0.8865277777777779,7.812729498164015
fullData,know,caiMean:cprior > 0,5.445872169224672,0.9594444444444444,23.65753424657534
fullData,pretend,cprior > 0,0.7716677967689337,1,Inf
fullData,pretend,caiMean > 0,-1.688049326245709,0.064375,0.06880427521710086
fullData,pretend,caiMean:cprior > 0,-2.8814070228419197,0.18312499999999998,0.22417750573833206
fullData,prove,cprior > 0,0.9519144028168273,1,Inf
fullData,prove,caiMean > 0,0.27959801890443214,0.6264583333333333,1.6770775237032907
fullData,prove,caiMean:cprior > 0,4.323529010735632,0.9172222222222223,11.080536912751677
fullData,reveal,cprior > 0,0.4170746334398201,0.9834722222222222,59.50420168067227
fullData,reveal,caiMean > 0,1.3931386754766586,0.9309027777777777,13.472361809045227
fullData,reveal,caiMean:cprior > 0,-4.230921377769915,0.08090277777777778,0.08802417831507367
fullData,say,cprior > 0,0.8690481753391938,1,Inf
fullData,say,caiMean > 0,-0.44609582138307335,0.28881944444444446,0.40611268430817304
fullData,say,caiMean:cprior > 0,0.8953057070530185,0.6402777777777778,1.77992277992278
fullData,see,cprior > 0,0.7597656278330784,0.9999305555555555,14399
fullData,see,caiMean > 0,2.376971891993135,0.9972916666666667,368.2307692307692
fullData,see,caiMean:cprior > 0,-1.9466429676646126,0.22125,0.2841091492776886
fullData,suggest,cprior > 0,1.348903629436433,1,Inf
fullData,suggest,caiMean > 0,-0.14604528269742195,0.4194444444444444,0.722488038277512
fullData,suggest,caiMean:cprior > 0,2.9073271147476074,0.9020138888888889,9.205527994330263
fullData,think,cprior > 0,1.2836959442113034,1,Inf
fullData,think,caiMean > 0,-0.775163137851265,0.20013888888888887,0.25021705157145335
fullData,think,caiMean:cprior > 0,5.735496408839771,0.9797916666666666,48.48453608247423
