block,predicate,hypothesis,estimate,post.prob,bf
fullData,acknowledge,cprior > 0,0.6387552533188213,0.9964,276.77777777777777
fullData,acknowledge,cai > 0,1.1183447842117864,1,Inf
fullData,acknowledge,cprior:cai > 0,-0.719211846412057,0.0691,0.07422924051992695
fullData,admit,cprior > 0,0.6678694327733946,0.9986,713.2857142857143
fullData,admit,cai > 0,0.9114811355425428,0.9998,4999
fullData,admit,cprior:cai > 0,0.29125496008548724,0.7384999999999999,2.8240917782026767
fullData,announce,cprior > 0,0.8290327526656323,0.9984,624
fullData,announce,cai > 0,0.7810363554179306,1,Inf
fullData,announce,cprior:cai > 0,-0.5684978958444649,0.12430000000000001,0.14194358798675347
fullData,be.annoyed,cprior > 0,1.0677298343060737,1,Inf
fullData,be.annoyed,cai > 0,1.932342829278638,1,Inf
fullData,be.annoyed,cprior:cai > 0,1.050315910232224,0.9085,9.92896174863388
fullData,be.right,cprior > 0,1.2422861180096967,1,Inf
fullData,be.right,cai > 0,1.2070325064796394,1,Inf
fullData,be.right,cprior:cai > 0,0.29942843136257435,0.6519999999999999,1.8735632183908046
fullData,confess,cprior > 0,0.6087528860460644,0.9948,191.30769230769232
fullData,confess,cai > 0,0.8491051325024418,0.9994,1665.6666666666667
fullData,confess,cprior:cai > 0,-0.36508662287309057,0.2216,0.2846865364850976
fullData,confirm,cprior > 0,0.9070361798757003,1,Inf
fullData,confirm,cai > 0,0.7802615784809322,0.9999,9999
fullData,confirm,cprior:cai > 0,-0.4296302255352073,0.20470000000000002,0.2573871495033321
fullData,demonstrate,cprior > 0,0.9207332720710265,1,Inf
fullData,demonstrate,cai > 0,0.4070586536503738,0.9842,62.29113924050633
fullData,demonstrate,cprior:cai > 0,-0.3105771185676306,0.2537,0.3399437223636607
fullData,discover,cprior > 0,0.6011517970417228,0.9974,383.61538461538464
fullData,discover,cai > 0,1.0614798189101926,1,Inf
fullData,discover,cprior:cai > 0,0.005679609329349578,0.5023000000000001,1.0092425155716296
fullData,establish,cprior > 0,1.0150646539923434,1,Inf
fullData,establish,cai > 0,-0.042319443103920516,0.4207,0.7262213015708614
fullData,establish,cprior:cai > 0,0.2765431837335975,0.6894,2.219575016097875
fullData,hear,cprior > 0,0.7458145327966192,0.9998,4999
fullData,hear,cai > 0,1.2802730463755625,1,Inf
fullData,hear,cprior:cai > 0,-0.04768134704797267,0.4626,0.8608113137327875
fullData,inform,cprior > 0,0.31726489272936326,0.9432,16.6056338028169
fullData,inform,cai > 0,1.6015433296849337,1,Inf
fullData,inform,cprior:cai > 0,-0.11345406632663724,0.41150000000000003,0.6992353440951572
fullData,know,cprior > 0,1.3287787370769053,1,Inf
fullData,know,cai > 0,1.7929623376087405,1,Inf
fullData,know,cprior:cai > 0,0.5252738487269049,0.8171,4.467468562055768
fullData,pretend,cprior > 0,0.7825589689230953,1,Inf
fullData,pretend,cai > 0,-1.490399989993875,0,0
fullData,pretend,cprior:cai > 0,1.7337491947863877,0.9965,284.7142857142857
fullData,prove,cprior > 0,1.0580404573220845,1,Inf
fullData,prove,cai > 0,0.1301793361515515,0.7004,2.3377837116154874
fullData,prove,cprior:cai > 0,0.2639376727266631,0.687,2.194888178913738
fullData,reveal,cprior > 0,0.454535075097335,0.9783,45.08294930875576
fullData,reveal,cai > 0,0.868107742417457,1,Inf
fullData,reveal,cprior:cai > 0,-0.1970184228957268,0.3372,0.5087507543753772
fullData,say,cprior > 0,0.7146295922406394,0.9992,1249
fullData,say,cai > 0,-0.2120885565648194,0.15039999999999998,0.17702448210922786
fullData,say,cprior:cai > 0,0.8192000062889571,0.9202,11.531328320802006
fullData,see,cprior > 0,0.8467568930963418,1,Inf
fullData,see,cai > 0,1.0324157475626925,1,Inf
fullData,see,cprior:cai > 0,-0.687728383877497,0.08180000000000001,0.08908734480505337
fullData,suggest,cprior > 0,1.2989555385922615,1,Inf
fullData,suggest,cai > 0,-0.30417945077895386,0.0509,0.0536297545042672
fullData,suggest,cprior:cai > 0,-0.2219284646615038,0.3491,0.5363343063450607
fullData,think,cprior > 0,1.0301302204976985,1,Inf
fullData,think,cai > 0,-0.5681108358971736,0.0013,0.0013016921998598178
fullData,think,cprior:cai > 0,-0.6396587432659233,0.11289999999999999,0.12726862811407957
