content,trigger_class,block,question_type,workerid,slide_number_in_experiment,prior_fact,rt,Answer.time_in_minutes,trigger,prior,response,short_trigger
pizza,MC,block2,projective,26,42,Pizza is sold at the pizzeria,3856,8.853333333333333,MC,,0,MC
sophia,C,block2,projective,26,43,Sophia is a high end fashion model,5425,8.853333333333333,acknowledge,low_prior,0.91,acknowledge
danny,C,block2,projective,26,44,Danny loves cake,4920,8.853333333333333,see,high_prior,1,see
mia,C,block2,projective,26,45,Mia is a nun,6969,8.853333333333333,admit,low_prior,0.72,admit
ballet,MC,block2,projective,26,46,Ballet is a type of dance,10146,8.853333333333333,MC,,0.18,MC
jackson,C,block2,projective,26,47,Jackson is training for a marathon,7737,8.853333333333333,hear,high_prior,0.8,hear
kids,MC,block2,projective,26,48,Many children like ice cream,8097,8.853333333333333,MC,,0,MC
owen,C,block2,projective,26,49,Owen lives in New Orleans,6953,8.853333333333333,think,low_prior,0.23,think
tony,C,block2,projective,26,50,Tony really likes to party with his friends,7633,8.853333333333333,demonstrate,high_prior,0.36,demonstrate
zoe,C,block2,projective,26,51,Zoe is 5 years old,11377,8.853333333333333,confess,low_prior,0.76,confess
grace,C,block2,projective,26,52,Grace loves her sister,17722,8.853333333333333,be_annoyed,high_prior,0.86,be_annoyed
emily,C,block2,projective,26,53,Emily never has any money,12009,8.853333333333333,know,low_prior,0.82,know
jayden,C,block2,projective,26,54,Jayden's car is in the shop,6376,8.853333333333333,confirm,high_prior,0.18,confirm
garage,MC,block2,projective,26,55,Garages are used to store cars and other things,6625,8.853333333333333,MC,,0,MC
josh,C,block2,projective,26,56,Josh is a 5-year old boy,5385,8.853333333333333,be_right,high_prior,0.09,be_right
frank,C,block2,projective,26,57,Frank is allergic to cats,7705,8.853333333333333,announce,low_prior,0.71,announce
ballet,MC,block1,prior,27,5,Ballet is a type of dance,8699,6.548233333333333,MC,,0.48,MC
pizza,MC,block1,prior,27,6,Pizza is sold at the pizzeria,7264,6.548233333333333,MC,,0.43,MC
frank,C,block1,prior,27,7,Frank is allergic to cats,4237,6.548233333333333,demonstrate,low_prior,0.05,demonstrate
mia,C,block1,prior,27,8,Mia is a college student,5313,6.548233333333333,hear,high_prior,0.46,hear
mary,C,block1,prior,27,9,Mary is taking a prenatal yoga class,10470,6.548233333333333,be_annoyed,high_prior,0.98,be_annoyed
jackson,C,block1,prior,27,10,Jackson is training for a marathon,5588,6.548233333333333,prove,high_prior,0.8,prove
josh,C,block1,prior,27,11,Josh is a 75-year old man,4336,6.548233333333333,admit,low_prior,0.32,admit
julian,C,block1,prior,27,12,Julian is German,3922,6.548233333333333,be_right,low_prior,0.47,be_right
danny,C,block1,prior,27,13,Danny is a diabetic,4474,6.548233333333333,confirm,low_prior,0.26,confirm
grace,C,block1,prior,27,14,Grace loves her sister,5606,6.548233333333333,discover,high_prior,0.74,discover
zoe,C,block1,prior,27,15,Zoe is a math major,4977,6.548233333333333,suggest,high_prior,0.81,suggest
kids,MC,block1,prior,27,16,Many children like ice cream,4494,6.548233333333333,MC,,0.49,MC
muffins,MC,block1,prior,27,17,Muffins are sold at the bakery,4720,6.548233333333333,MC,,0.57,MC
jayden,C,block1,prior,27,18,Jayden doesn't have a driver's license,4592,6.548233333333333,know,low_prior,0.03,know
emily,C,block1,prior,27,19,Emily has been saving for a year,5192,6.548233333333333,acknowledge,high_prior,0.53,acknowledge
emma,C,block1,prior,27,20,Emma is in first grade,5316,6.548233333333333,establish,low_prior,0.14,establish
isabella,C,block1,prior,27,21,Isabella is a vegetarian,4860,6.548233333333333,confess,low_prior,0.02,confess
tony,C,block1,prior,27,22,Tony has been sober for 20 years,3838,6.548233333333333,pretend,low_prior,0.03,pretend
owen,C,block1,prior,27,23,Owen lives in Chicago,5515,6.548233333333333,see,high_prior,0.88,see
hat,MC,block1,prior,27,24,Hats are worn on the head,6361,6.548233333333333,MC,,0.51,MC
josie,C,block1,prior,27,25,Josie loves France,3783,6.548233333333333,announce,high_prior,0.66,announce
garage,MC,block1,prior,27,26,Garages are used to store cars and other things,5560,6.548233333333333,MC,,0.4,MC
sophia,C,block1,prior,27,27,Sophia is a hipster,4187,6.548233333333333,inform,high_prior,0.6,inform
olivia,C,block1,prior,27,28,Olivia works the third shift,5408,6.548233333333333,think,high_prior,0.78,think
charley,C,block1,prior,27,29,Charley lives in Korea,4621,6.548233333333333,say,low_prior,0.34,say
jon,C,block1,prior,27,30,Jon lives 10 miles away from work,3839,6.548233333333333,reveal,low_prior,0.22,reveal
isabella,C,block2,projective,27,32,Isabella is a vegetarian,9922,6.548233333333333,confess,low_prior,0.04,confess
josie,C,block2,projective,27,33,Josie loves France,8783,6.548233333333333,announce,high_prior,0.36,announce
ballet,MC,block2,projective,27,34,Ballet is a type of dance,5102,6.548233333333333,MC,,0.27,MC
garage,MC,block2,projective,27,35,Garages are used to store cars and other things,6734,6.548233333333333,MC,,0.09,MC
tony,C,block2,projective,27,36,Tony has been sober for 20 years,13108,6.548233333333333,pretend,low_prior,0.13,pretend
muffins,MC,block2,projective,27,37,Muffins are sold at the bakery,5302,6.548233333333333,MC,,0,MC
emily,C,block2,projective,27,38,Emily has been saving for a year,5172,6.548233333333333,acknowledge,high_prior,0.38,acknowledge
julian,C,block2,projective,27,39,Julian is German,5025,6.548233333333333,be_right,low_prior,0.17,be_right
frank,C,block2,projective,27,40,Frank is allergic to cats,8623,6.548233333333333,demonstrate,low_prior,0.02,demonstrate
charley,C,block2,projective,27,41,Charley lives in Korea,9113,6.548233333333333,say,low_prior,0.27,say
josh,C,block2,projective,27,42,Josh is a 75-year old man,13342,6.548233333333333,admit,low_prior,0.06,admit
pizza,MC,block2,projective,27,43,Pizza is sold at the pizzeria,4239,6.548233333333333,MC,,0.35,MC
danny,C,block2,projective,27,44,Danny is a diabetic,12120,6.548233333333333,confirm,low_prior,0.37,confirm
kids,MC,block2,projective,27,45,Many children like ice cream,5933,6.548233333333333,MC,,0.06,MC
mia,C,block2,projective,27,46,Mia is a college student,5378,6.548233333333333,hear,high_prior,0.36,hear
jon,C,block2,projective,27,47,Jon lives 10 miles away from work,4638,6.548233333333333,reveal,low_prior,0.02,reveal
mary,C,block2,projective,27,48,Mary is taking a prenatal yoga class,8631,6.548233333333333,be_annoyed,high_prior,0.92,be_annoyed
emma,C,block2,projective,27,49,Emma is in first grade,8056,6.548233333333333,establish,low_prior,0.07,establish
olivia,C,block2,projective,27,50,Olivia works the third shift,6810,6.548233333333333,think,high_prior,0.32,think
jackson,C,block2,projective,27,51,Jackson is training for a marathon,5852,6.548233333333333,prove,high_prior,0.75,prove
owen,C,block2,projective,27,52,Owen lives in Chicago,15377,6.548233333333333,see,high_prior,0.61,see
grace,C,block2,projective,27,53,Grace loves her sister,7255,6.548233333333333,discover,high_prior,0.31,discover
sophia,C,block2,projective,27,54,Sophia is a hipster,6524,6.548233333333333,inform,high_prior,0.33,inform
jayden,C,block2,projective,27,55,Jayden doesn't have a driver's license,8152,6.548233333333333,know,low_prior,0.06,know
zoe,C,block2,projective,27,56,Zoe is a math major,9754,6.548233333333333,suggest,high_prior,0.22,suggest
hat,MC,block2,projective,27,57,Hats are worn on the head,5013,6.548233333333333,MC,,0.29,MC
muffins,MC,block1,projective,28,5,Muffins are sold at the bakery,2077,5.63615,MC,,0.42,MC
olivia,C,block1,projective,28,6,Olivia works the third shift,751,5.63615,confess,high_prior,0.7,confess
zoe,C,block1,projective,28,7,Zoe is a math major,686,5.63615,confirm,high_prior,0.53,confirm
jayden,C,block1,projective,28,8,Jayden doesn't have a driver's license,2697,5.63615,reveal,low_prior,0.55,reveal
garage,MC,block1,projective,28,9,Garages are used to store cars and other things,823,5.63615,MC,,0.74,MC
hat,MC,block1,projective,28,10,Hats are worn on the head,16799,5.63615,MC,,0.61,MC
kids,MC,block1,projective,28,11,Many children like ice cream,1056,5.63615,MC,,0.7,MC
emily,C,block1,projective,28,12,Emily never has any money,927,5.63615,admit,low_prior,0.45,admit
emma,C,block1,projective,28,13,Emma is in first grade,862,5.63615,be_annoyed,low_prior,0.64,be_annoyed
danny,C,block1,projective,28,14,Danny is a diabetic,713,5.63615,demonstrate,low_prior,0.51,demonstrate
julian,C,block1,projective,28,15,Julian is German,848,5.63615,suggest,low_prior,0.78,suggest
jackson,C,block1,projective,28,16,Jackson is training for a marathon,1383,5.63615,hear,high_prior,0.5,hear
ballet,MC,block1,projective,28,17,Ballet is a type of dance,1239,5.63615,MC,,0.69,MC
mia,C,block1,projective,28,18,Mia is a college student,744,5.63615,announce,high_prior,0.32,announce
sophia,C,block1,projective,28,19,Sophia is a hipster,723,5.63615,think,high_prior,0.68,think
owen,C,block1,projective,28,20,Owen lives in Chicago,621,5.63615,say,high_prior,0.52,say
pizza,MC,block1,projective,28,21,Pizza is sold at the pizzeria,912,5.63615,MC,,0.82,MC
tony,C,block1,projective,28,22,Tony has been sober for 20 years,608,5.63615,see,low_prior,0.54,see
grace,C,block1,projective,28,23,Grace hates her sister,1920,5.63615,acknowledge,low_prior,0.78,acknowledge
isabella,C,block1,projective,28,24,Isabella is from Argentina,861,5.63615,prove,high_prior,0.4,prove
josh,C,block1,projective,28,25,Josh is a 5-year old boy,1314,5.63615,be_right,high_prior,0.81,be_right
jon,C,block1,projective,28,26,Jon lives 10 miles away from work,783,5.63615,establish,low_prior,0.35,establish
charley,C,block1,projective,28,27,Charley lives in Mexico,1472,5.63615,discover,high_prior,0.54,discover
mary,C,block1,projective,28,28,Mary is taking a prenatal yoga class,863,5.63615,pretend,high_prior,0.66,pretend
frank,C,block1,projective,28,29,Frank is allergic to cats,1496,5.63615,know,low_prior,0.44,know
josie,C,block1,projective,28,30,Josie doesn't have a passport,1335,5.63615,inform,low_prior,0.8,inform
frank,C,block2,prior,28,32,Frank is allergic to cats,1150,5.63615,know,low_prior,0.67,know
ballet,MC,block2,prior,28,33,Ballet is a type of dance,711,5.63615,MC,,0.61,MC
isabella,C,block2,prior,28,34,Isabella is from Argentina,49732,5.63615,prove,high_prior,0.62,prove
josie,C,block2,prior,28,35,Josie doesn't have a passport,1221,5.63615,inform,low_prior,0.52,inform
julian,C,block2,prior,28,36,Julian is German,1153,5.63615,suggest,low_prior,0.71,suggest
owen,C,block2,prior,28,37,Owen lives in Chicago,3191,5.63615,say,high_prior,0.53,say
charley,C,block2,prior,28,38,Charley lives in Mexico,975,5.63615,discover,high_prior,0.73,discover
pizza,MC,block2,prior,28,39,Pizza is sold at the pizzeria,1071,5.63615,MC,,0.36,MC
jackson,C,block2,prior,28,40,Jackson is training for a marathon,815,5.63615,hear,high_prior,0.57,hear
mary,C,block2,prior,28,41,Mary is taking a prenatal yoga class,767,5.63615,pretend,high_prior,0.45,pretend
kids,MC,block2,prior,28,42,Many children like ice cream,842,5.63615,MC,,0.61,MC
josh,C,block2,prior,28,43,Josh is a 5-year old boy,799,5.63615,be_right,high_prior,0.47,be_right
hat,MC,block2,prior,28,44,Hats are worn on the head,967,5.63615,MC,,0.83,MC
emma,C,block2,prior,28,45,Emma is in first grade,1513,5.63615,be_annoyed,low_prior,0.34,be_annoyed
tony,C,block2,prior,28,46,Tony has been sober for 20 years,2247,5.63615,see,low_prior,0.49,see
mia,C,block2,prior,28,47,Mia is a college student,1029,5.63615,announce,high_prior,0.62,announce
jon,C,block2,prior,28,48,Jon lives 10 miles away from work,1154,5.63615,establish,low_prior,0.41,establish
grace,C,block2,prior,28,49,Grace hates her sister,984,5.63615,acknowledge,low_prior,0.51,acknowledge
zoe,C,block2,prior,28,50,Zoe is a math major,1040,5.63615,confirm,high_prior,0.74,confirm
danny,C,block2,prior,28,51,Danny is a diabetic,1440,5.63615,demonstrate,low_prior,0.79,demonstrate
muffins,MC,block2,prior,28,52,Muffins are sold at the bakery,1096,5.63615,MC,,0.42,MC
jayden,C,block2,prior,28,53,Jayden doesn't have a driver's license,1103,5.63615,reveal,low_prior,0.62,reveal
garage,MC,block2,prior,28,54,Garages are used to store cars and other things,848,5.63615,MC,,0.47,MC
olivia,C,block2,prior,28,55,Olivia works the third shift,1144,5.63615,confess,high_prior,0.78,confess
sophia,C,block2,prior,28,56,Sophia is a hipster,1023,5.63615,think,high_prior,0.43,think
emily,C,block2,prior,28,57,Emily never has any money,1169,5.63615,admit,low_prior,0.52,admit
kids,MC,block1,projective,29,5,Many children like ice cream,7713,8.612733333333333,MC,,0.12,MC
muffins,MC,block1,projective,29,6,Muffins are sold at the bakery,4916,8.612733333333333,MC,,0.35,MC
sophia,C,block1,projective,29,7,Sophia is a high end fashion model,5385,8.612733333333333,acknowledge,low_prior,0.24,acknowledge
pizza,MC,block1,projective,29,8,Pizza is sold at the pizzeria,3010,8.612733333333333,MC,,0.33,MC
frank,C,block1,projective,29,9,Frank has always wanted a pet,4137,8.612733333333333,pretend,high_prior,0.4,pretend
zoe,C,block1,projective,29,10,Zoe is 5 years old,5162,8.612733333333333,hear,low_prior,0.61,hear
danny,C,block1,projective,29,11,Danny is a diabetic,2993,8.612733333333333,establish,low_prior,0.55,establish
emma,C,block1,projective,29,12,Emma is in law school,3850,8.612733333333333,see,high_prior,0.88,see
charley,C,block1,projective,29,13,Charley lives in Korea,3736,8.612733333333333,demonstrate,low_prior,0.65,demonstrate
olivia,C,block1,projective,29,14,Olivia has two small children,4939,8.612733333333333,inform,low_prior,0.36,inform
jackson,C,block1,projective,29,15,Jackson is obese,2560,8.612733333333333,discover,low_prior,0.67,discover
tony,C,block1,projective,29,16,Tony really likes to party with his friends,3571,8.612733333333333,suggest,high_prior,0.34,suggest
jayden,C,block1,projective,29,17,Jayden doesn't have a driver's license,4280,8.612733333333333,confirm,low_prior,0.08,confirm
grace,C,block1,projective,29,18,Grace loves her sister,3635,8.612733333333333,prove,high_prior,0.74,prove
ballet,MC,block1,projective,29,19,Ballet is a type of dance,4049,8.612733333333333,MC,,0.22,MC
owen,C,block1,projective,29,20,Owen lives in Chicago,5691,8.612733333333333,admit,high_prior,0.89,admit
isabella,C,block1,projective,29,21,Isabella is from Argentina,3929,8.612733333333333,announce,high_prior,0.18,announce
emily,C,block1,projective,29,22,Emily never has any money,3489,8.612733333333333,be_right,low_prior,0.11,be_right
josie,C,block1,projective,29,23,Josie loves France,104908,8.612733333333333,be_annoyed,high_prior,0.84,be_annoyed
mia,C,block1,projective,29,24,Mia is a nun,4626,8.612733333333333,reveal,low_prior,0.15,reveal
julian,C,block1,projective,29,25,Julian is Cuban,1280,8.612733333333333,know,high_prior,0.61,know
garage,MC,block1,projective,29,26,Garages are used to store cars and other things,1624,8.612733333333333,MC,,0.4,MC
jon,C,block1,projective,29,27,Jon lives 10 miles away from work,2552,8.612733333333333,say,low_prior,0.12,say
josh,C,block1,projective,29,28,Josh is a 5-year old boy,1145,8.612733333333333,confess,high_prior,0.56,confess
mary,C,block1,projective,29,29,Mary is taking a prenatal yoga class,3393,8.612733333333333,think,high_prior,1,think
hat,MC,block1,projective,29,30,Hats are worn on the head,4578,8.612733333333333,MC,,0.59,MC
danny,C,block2,prior,29,32,Danny is a diabetic,3904,8.612733333333333,establish,low_prior,0.98,establish
pizza,MC,block2,prior,29,33,Pizza is sold at the pizzeria,4553,8.612733333333333,MC,,0.55,MC
mary,C,block2,prior,29,34,Mary is taking a prenatal yoga class,2872,8.612733333333333,think,high_prior,0.97,think
ballet,MC,block2,prior,29,35,Ballet is a type of dance,2697,8.612733333333333,MC,,0.65,MC
garage,MC,block2,prior,29,36,Garages are used to store cars and other things,4625,8.612733333333333,MC,,0.16,MC
zoe,C,block2,prior,29,37,Zoe is 5 years old,2801,8.612733333333333,hear,low_prior,0.08,hear
josh,C,block2,prior,29,38,Josh is a 5-year old boy,3017,8.612733333333333,confess,high_prior,0.92,confess
mia,C,block2,prior,29,39,Mia is a nun,3000,8.612733333333333,reveal,low_prior,0.03,reveal
jayden,C,block2,prior,29,40,Jayden doesn't have a driver's license,2297,8.612733333333333,confirm,low_prior,0.06,confirm
frank,C,block2,prior,29,41,Frank has always wanted a pet,2161,8.612733333333333,pretend,high_prior,0.81,pretend
hat,MC,block2,prior,29,42,Hats are worn on the head,3609,8.612733333333333,MC,,0.52,MC
isabella,C,block2,prior,29,43,Isabella is from Argentina,2000,8.612733333333333,announce,high_prior,0.24,announce
julian,C,block2,prior,29,44,Julian is Cuban,2993,8.612733333333333,know,high_prior,0.87,know
tony,C,block2,prior,29,45,Tony really likes to party with his friends,5233,8.612733333333333,suggest,high_prior,0.92,suggest
charley,C,block2,prior,29,46,Charley lives in Korea,2978,8.612733333333333,demonstrate,low_prior,0.48,demonstrate
olivia,C,block2,prior,29,47,Olivia has two small children,3119,8.612733333333333,inform,low_prior,0.09,inform
emma,C,block2,prior,29,48,Emma is in law school,2770,8.612733333333333,see,high_prior,0.99,see
sophia,C,block2,prior,29,49,Sophia is a high end fashion model,3081,8.612733333333333,acknowledge,low_prior,0.12,acknowledge
owen,C,block2,prior,29,50,Owen lives in Chicago,2025,8.612733333333333,admit,high_prior,1,admit
grace,C,block2,prior,29,51,Grace loves her sister,2944,8.612733333333333,prove,high_prior,0.95,prove
jackson,C,block2,prior,29,52,Jackson is obese,2721,8.612733333333333,discover,low_prior,0,discover
josie,C,block2,prior,29,53,Josie loves France,2824,8.612733333333333,be_annoyed,high_prior,0.91,be_annoyed
jon,C,block2,prior,29,54,Jon lives 10 miles away from work,3048,8.612733333333333,say,low_prior,0,say
kids,MC,block2,prior,29,55,Many children like ice cream,1729,8.612733333333333,MC,,0.73,MC
emily,C,block2,prior,29,56,Emily never has any money,2367,8.612733333333333,be_right,low_prior,0,be_right
muffins,MC,block2,prior,29,57,Muffins are sold at the bakery,3738,8.612733333333333,MC,,0.51,MC
grace,C,block1,prior,30,5,Grace loves her sister,7565,6.118116666666666,reveal,high_prior,0.88,reveal
owen,C,block1,prior,30,6,Owen lives in Chicago,5255,6.118116666666666,acknowledge,high_prior,0.71,acknowledge
jackson,C,block1,prior,30,7,Jackson is training for a marathon,6738,6.118116666666666,think,high_prior,0.88,think
jon,C,block1,prior,30,8,Jon lives 10 miles away from work,5416,6.118116666666666,be_annoyed,low_prior,0.03,be_annoyed
sophia,C,block1,prior,30,9,Sophia is a high end fashion model,9887,6.118116666666666,confirm,low_prior,0.05,confirm
josie,C,block1,prior,30,10,Josie loves France,5233,6.118116666666666,inform,high_prior,0.61,inform
isabella,C,block1,prior,30,11,Isabella is a vegetarian,4239,6.118116666666666,know,low_prior,0.02,know
mia,C,block1,prior,30,12,Mia is a college student,4847,6.118116666666666,confess,high_prior,0.18,confess
ballet,MC,block1,prior,30,13,Ballet is a type of dance,5105,6.118116666666666,MC,,0.08,MC
hat,MC,block1,prior,30,14,Hats are worn on the head,4575,6.118116666666666,MC,,0.16,MC
olivia,C,block1,prior,30,15,Olivia has two small children,4086,6.118116666666666,discover,low_prior,0.06,discover
jayden,C,block1,prior,30,16,Jayden's car is in the shop,5556,6.118116666666666,pretend,high_prior,0.57,pretend
garage,MC,block1,prior,30,17,Garages are used to store cars and other things,5966,6.118116666666666,MC,,0.07,MC
emma,C,block1,prior,30,18,Emma is in first grade,5702,6.118116666666666,say,low_prior,0.21,say
frank,C,block1,prior,30,19,Frank has always wanted a pet,4719,6.118116666666666,establish,high_prior,0.49,establish
zoe,C,block1,prior,30,20,Zoe is 5 years old,5172,6.118116666666666,announce,low_prior,0.05,announce
kids,MC,block1,prior,30,21,Many children like ice cream,7158,6.118116666666666,MC,,0.49,MC
danny,C,block1,prior,30,22,Danny is a diabetic,6014,6.118116666666666,be_right,low_prior,0.31,be_right
tony,C,block1,prior,30,23,Tony really likes to party with his friends,4043,6.118116666666666,demonstrate,high_prior,0.7,demonstrate
muffins,MC,block1,prior,30,24,Muffins are sold at the bakery,7442,6.118116666666666,MC,,0.56,MC
josh,C,block1,prior,30,25,Josh is a 5-year old boy,3996,6.118116666666666,hear,high_prior,0.12,hear
mary,C,block1,prior,30,26,Mary is a middle school student,3921,6.118116666666666,admit,low_prior,0.04,admit
pizza,MC,block1,prior,30,27,Pizza is sold at the pizzeria,4292,6.118116666666666,MC,,0.33,MC
emily,C,block1,prior,30,28,Emily never has any money,4110,6.118116666666666,prove,low_prior,0,prove
julian,C,block1,prior,30,29,Julian is Cuban,3656,6.118116666666666,see,high_prior,0.19,see
charley,C,block1,prior,30,30,Charley lives in Korea,4217,6.118116666666666,suggest,low_prior,0.1,suggest
jayden,C,block2,projective,30,32,Jayden's car is in the shop,12422,6.118116666666666,pretend,high_prior,0.69,pretend
mary,C,block2,projective,30,33,Mary is a middle school student,7056,6.118116666666666,admit,low_prior,0.86,admit
muffins,MC,block2,projective,30,34,Muffins are sold at the bakery,6708,6.118116666666666,MC,,0.01,MC
grace,C,block2,projective,30,35,Grace loves her sister,7189,6.118116666666666,reveal,high_prior,0.96,reveal
zoe,C,block2,projective,30,36,Zoe is 5 years old,8814,6.118116666666666,announce,low_prior,0.24,announce
josh,C,block2,projective,30,37,Josh is a 5-year old boy,6378,6.118116666666666,hear,high_prior,0.88,hear
kids,MC,block2,projective,30,38,Many children like ice cream,7401,6.118116666666666,MC,,0.03,MC
tony,C,block2,projective,30,39,Tony really likes to party with his friends,8983,6.118116666666666,demonstrate,high_prior,0.18,demonstrate
garage,MC,block2,projective,30,40,Garages are used to store cars and other things,5510,6.118116666666666,MC,,0.07,MC
mia,C,block2,projective,30,41,Mia is a college student,5430,6.118116666666666,confess,high_prior,0.86,confess
emma,C,block2,projective,30,42,Emma is in first grade,5838,6.118116666666666,say,low_prior,0.67,say
ballet,MC,block2,projective,30,43,Ballet is a type of dance,4101,6.118116666666666,MC,,0.02,MC
charley,C,block2,projective,30,44,Charley lives in Korea,4768,6.118116666666666,suggest,low_prior,0.18,suggest
hat,MC,block2,projective,30,45,Hats are worn on the head,6714,6.118116666666666,MC,,0.38,MC
frank,C,block2,projective,30,46,Frank has always wanted a pet,4578,6.118116666666666,establish,high_prior,0.62,establish
jackson,C,block2,projective,30,47,Jackson is training for a marathon,7856,6.118116666666666,think,high_prior,0.3,think
jon,C,block2,projective,30,48,Jon lives 10 miles away from work,6868,6.118116666666666,be_annoyed,low_prior,0.82,be_annoyed
owen,C,block2,projective,30,49,Owen lives in Chicago,5404,6.118116666666666,acknowledge,high_prior,0.86,acknowledge
julian,C,block2,projective,30,50,Julian is Cuban,7786,6.118116666666666,see,high_prior,0.91,see
pizza,MC,block2,projective,30,51,Pizza is sold at the pizzeria,4227,6.118116666666666,MC,,0,MC
danny,C,block2,projective,30,52,Danny is a diabetic,5369,6.118116666666666,be_right,low_prior,0.05,be_right
sophia,C,block2,projective,30,53,Sophia is a high end fashion model,5478,6.118116666666666,confirm,low_prior,0.09,confirm
olivia,C,block2,projective,30,54,Olivia has two small children,4574,6.118116666666666,discover,low_prior,0.91,discover
isabella,C,block2,projective,30,55,Isabella is a vegetarian,7719,6.118116666666666,know,low_prior,0.85,know
emily,C,block2,projective,30,56,Emily never has any money,5279,6.118116666666666,prove,low_prior,0.09,prove
josie,C,block2,projective,30,57,Josie loves France,7485,6.118116666666666,inform,high_prior,0.9,inform
ballet,MC,block1,projective,31,5,Ballet is a type of dance,22516,9.4114,MC,,0.03,MC
danny,C,block1,projective,31,6,Danny loves cake,16512,9.4114,inform,high_prior,0.96,inform
jayden,C,block1,projective,31,7,Jayden doesn't have a driver's license,17288,9.4114,suggest,low_prior,0.05,suggest
pizza,MC,block1,projective,31,8,Pizza is sold at the pizzeria,10416,9.4114,MC,,0.05,MC
julian,C,block1,projective,31,9,Julian is German,10680,9.4114,hear,low_prior,0.77,hear
kids,MC,block1,projective,31,10,Many children like ice cream,12023,9.4114,MC,,0.13,MC
grace,C,block1,projective,31,11,Grace hates her sister,20281,9.4114,be_annoyed,low_prior,0.78,be_annoyed
mia,C,block1,projective,31,12,Mia is a college student,14240,9.4114,pretend,high_prior,0.2,pretend
tony,C,block1,projective,31,13,Tony really likes to party with his friends,10393,9.4114,announce,high_prior,0.37,announce
owen,C,block1,projective,31,14,Owen lives in Chicago,11184,9.4114,acknowledge,high_prior,0.85,acknowledge
olivia,C,block1,projective,31,15,Olivia works the third shift,17808,9.4114,say,high_prior,0.28,say
josie,C,block1,projective,31,16,Josie doesn't have a passport,15278,9.4114,admit,low_prior,0.2,admit
muffins,MC,block1,projective,31,17,Muffins are sold at the bakery,7943,9.4114,MC,,0.16,MC
jackson,C,block1,projective,31,18,Jackson is training for a marathon,10665,9.4114,reveal,high_prior,0.85,reveal
hat,MC,block1,projective,31,19,Hats are worn on the head,12722,9.4114,MC,,0.21,MC
sophia,C,block1,projective,31,20,Sophia is a high end fashion model,11843,9.4114,be_right,low_prior,0.09,be_right
emily,C,block1,projective,31,21,Emily never has any money,14484,9.4114,discover,low_prior,0.28,discover
josh,C,block1,projective,31,22,Josh is a 75-year old man,8636,9.4114,think,low_prior,0.09,think
charley,C,block1,projective,31,23,Charley lives in Mexico,12799,9.4114,prove,high_prior,0.3,prove
zoe,C,block1,projective,31,24,Zoe is 5 years old,12128,9.4114,see,low_prior,0.63,see
emma,C,block1,projective,31,25,Emma is in first grade,14438,9.4114,confirm,low_prior,0.26,confirm
garage,MC,block1,projective,31,26,Garages are used to store cars and other things,10605,9.4114,MC,,0.16,MC
isabella,C,block1,projective,31,27,Isabella is from Argentina,16345,9.4114,demonstrate,high_prior,0.34,demonstrate
jon,C,block1,projective,31,28,Jon lives 2 blocks away from work,10928,9.4114,establish,high_prior,0.67,establish
frank,C,block1,projective,31,29,Frank is allergic to cats,13716,9.4114,know,low_prior,0.62,know
mary,C,block1,projective,31,30,Mary is taking a prenatal yoga class,10479,9.4114,confess,high_prior,0.88,confess
emma,C,block2,prior,31,32,Emma is in first grade,11096,9.4114,confirm,low_prior,0.33,confirm
grace,C,block2,prior,31,33,Grace hates her sister,9048,9.4114,be_annoyed,low_prior,0.22,be_annoyed
tony,C,block2,prior,31,34,Tony really likes to party with his friends,6523,9.4114,announce,high_prior,0.81,announce
emily,C,block2,prior,31,35,Emily never has any money,5022,9.4114,discover,low_prior,0.26,discover
jayden,C,block2,prior,31,36,Jayden doesn't have a driver's license,6944,9.4114,suggest,low_prior,0.1,suggest
josie,C,block2,prior,31,37,Josie doesn't have a passport,6366,9.4114,admit,low_prior,0.1,admit
frank,C,block2,prior,31,38,Frank is allergic to cats,5234,9.4114,know,low_prior,0.31,know
josh,C,block2,prior,31,39,Josh is a 75-year old man,5537,9.4114,think,low_prior,0.27,think
hat,MC,block2,prior,31,40,Hats are worn on the head,4324,9.4114,MC,,0.82,MC
pizza,MC,block2,prior,31,41,Pizza is sold at the pizzeria,5382,9.4114,MC,,0.63,MC
isabella,C,block2,prior,31,42,Isabella is from Argentina,6928,9.4114,demonstrate,high_prior,0.66,demonstrate
sophia,C,block2,prior,31,43,Sophia is a high end fashion model,4260,9.4114,be_right,low_prior,0.19,be_right
charley,C,block2,prior,31,44,Charley lives in Mexico,4362,9.4114,prove,high_prior,0.68,prove
mia,C,block2,prior,31,45,Mia is a college student,6455,9.4114,pretend,high_prior,0.63,pretend
ballet,MC,block2,prior,31,46,Ballet is a type of dance,3551,9.4114,MC,,0.8,MC
zoe,C,block2,prior,31,47,Zoe is 5 years old,4228,9.4114,see,low_prior,0.34,see
owen,C,block2,prior,31,48,Owen lives in Chicago,4969,9.4114,acknowledge,high_prior,0.77,acknowledge
mary,C,block2,prior,31,49,Mary is taking a prenatal yoga class,3414,9.4114,confess,high_prior,0.89,confess
julian,C,block2,prior,31,50,Julian is German,4564,9.4114,hear,low_prior,0.36,hear
olivia,C,block2,prior,31,51,Olivia works the third shift,4403,9.4114,say,high_prior,0.84,say
jon,C,block2,prior,31,52,Jon lives 2 blocks away from work,4698,9.4114,establish,high_prior,0.83,establish
