content,trigger_class,block,question_type,workerid,slide_number_in_experiment,prior_fact,rt,Answer.time_in_minutes,trigger,prior,response,short_trigger
tony,C,block1,projective,1,13,Tony really likes to party with his friends,1752,4.797983333333334,demonstrate,high_prior,0.66,demonstrate
jayden,C,block1,projective,1,14,Jayden's car is in the shop,1088,4.797983333333334,acknowledge,high_prior,0.73,acknowledge
garage,MC,block1,projective,1,15,Garages are used to store cars and other things,977,4.797983333333334,MC,,0.74,MC
ballet,MC,block1,projective,1,16,Ballet is a type of dance,1479,4.797983333333334,MC,,0.24,MC
jon,C,block1,projective,1,17,Jon lives 2 blocks away from work,1992,4.797983333333334,be_annoyed,high_prior,0.56,be_annoyed
josie,C,block1,projective,1,18,Josie doesn't have a passport,1111,4.797983333333334,say,low_prior,0.77,say
isabella,C,block1,projective,1,19,Isabella is from Argentina,921,4.797983333333334,see,high_prior,0.54,see
julian,C,block1,projective,1,20,Julian is German,1112,4.797983333333334,confess,low_prior,0.75,confess
emma,C,block1,projective,1,21,Emma is in first grade,2214,4.797983333333334,think,low_prior,0.51,think
kids,MC,block1,projective,1,22,Many children like ice cream,945,4.797983333333334,MC,,0.58,MC
olivia,C,block1,projective,1,23,Olivia works the third shift,864,4.797983333333334,know,high_prior,0.39,know
emily,C,block1,projective,1,24,Emily never has any money,2111,4.797983333333334,confirm,low_prior,0.2,confirm
danny,C,block1,projective,1,25,Danny loves cake,2072,4.797983333333334,reveal,high_prior,0.65,reveal
zoe,C,block1,projective,1,26,Zoe is a math major,1616,4.797983333333334,announce,high_prior,0.25,announce
grace,C,block1,projective,1,27,Grace hates her sister,1023,4.797983333333334,be_right,low_prior,0.69,be_right
mia,C,block1,projective,1,28,Mia is a nun,5253,4.797983333333334,inform,low_prior,0.65,inform
sophia,C,block1,projective,1,29,Sophia is a hipster,11104,4.797983333333334,suggest,high_prior,0.6,suggest
charley,C,block1,projective,1,30,Charley lives in Mexico,6255,4.797983333333334,establish,high_prior,0.08,establish
isabella,C,block2,prior,1,32,Isabella is from Argentina,4926,4.797983333333334,see,high_prior,0.81,see
danny,C,block2,prior,1,33,Danny loves cake,6879,4.797983333333334,reveal,high_prior,0.88,reveal
mary,C,block2,prior,1,34,Mary is a middle school student,7898,4.797983333333334,prove,low_prior,0.04,prove
zoe,C,block2,prior,1,35,Zoe is a math major,6760,4.797983333333334,announce,high_prior,0.74,announce
pizza,MC,block2,prior,1,36,Pizza is sold at the pizzeria,4471,4.797983333333334,MC,,0.09,MC
tony,C,block2,prior,1,37,Tony really likes to party with his friends,5960,4.797983333333334,demonstrate,high_prior,0.9,demonstrate
josie,C,block2,prior,1,38,Josie doesn't have a passport,24433,4.797983333333334,say,low_prior,0.04,say
kids,MC,block2,prior,1,39,Many children like ice cream,6144,4.797983333333334,MC,,0.5,MC
ballet,MC,block2,prior,1,40,Ballet is a type of dance,4353,4.797983333333334,MC,,0.96,MC
grace,C,block2,prior,1,41,Grace hates her sister,5768,4.797983333333334,be_right,low_prior,0.01,be_right
frank,C,block2,prior,1,42,Frank is allergic to cats,6206,4.797983333333334,hear,low_prior,0.04,hear
jackson,C,block2,prior,1,43,Jackson is obese,6465,4.797983333333334,pretend,low_prior,0.35,pretend
jayden,C,block2,prior,1,44,Jayden's car is in the shop,6759,4.797983333333334,acknowledge,high_prior,0.94,acknowledge
hat,MC,block2,prior,1,45,Hats are worn on the head,6232,4.797983333333334,MC,,0.84,MC
sophia,C,block2,prior,1,46,Sophia is a hipster,4458,4.797983333333334,suggest,high_prior,0.94,suggest
garage,MC,block2,prior,1,47,Garages are used to store cars and other things,5943,4.797983333333334,MC,,0.81,MC
mia,C,block2,prior,1,48,Mia is a nun,4824,4.797983333333334,inform,low_prior,0.04,inform
emily,C,block2,prior,1,49,Emily never has any money,7104,4.797983333333334,confirm,low_prior,0.02,confirm
owen,C,block2,prior,1,50,Owen lives in New Orleans,7529,4.797983333333334,discover,low_prior,0.92,discover
olivia,C,block2,prior,1,51,Olivia works the third shift,7367,4.797983333333334,know,high_prior,0,know
muffins,MC,block2,prior,1,52,Muffins are sold at the bakery,8297,4.797983333333334,MC,,0.66,MC
emma,C,block2,prior,1,53,Emma is in first grade,31855,4.797983333333334,think,low_prior,0.13,think
julian,C,block2,prior,1,54,Julian is German,4088,4.797983333333334,confess,low_prior,0.11,confess
jon,C,block2,prior,1,55,Jon lives 2 blocks away from work,3135,4.797983333333334,be_annoyed,high_prior,0.88,be_annoyed
josh,C,block2,prior,1,56,Josh is a 5-year old boy,4537,4.797983333333334,admit,high_prior,0.06,admit
charley,C,block2,prior,1,57,Charley lives in Mexico,4647,4.797983333333334,establish,high_prior,0.82,establish
frank,C,block1,projective,2,5,Frank has always wanted a pet,73320,3.7016833333333334,be_annoyed,high_prior,0.6,be_annoyed
muffins,MC,block1,projective,2,6,Muffins are sold at the bakery,2279,3.7016833333333334,MC,,0.7,MC
pizza,MC,block1,projective,2,7,Pizza is sold at the pizzeria,1720,3.7016833333333334,MC,,0.6,MC
jon,C,block1,projective,2,8,Jon lives 2 blocks away from work,2020,3.7016833333333334,prove,high_prior,0.67,prove
emma,C,block1,projective,2,9,Emma is in first grade,7720,3.7016833333333334,suggest,low_prior,0.57,suggest
isabella,C,block1,projective,2,10,Isabella is from Argentina,1780,3.7016833333333334,say,high_prior,0.64,say
emily,C,block1,projective,2,11,Emily has been saving for a year,1359,3.7016833333333334,see,high_prior,0.76,see
tony,C,block1,projective,2,12,Tony really likes to party with his friends,1290,3.7016833333333334,confirm,high_prior,0.61,confirm
owen,C,block1,projective,2,13,Owen lives in New Orleans,1281,3.7016833333333334,know,low_prior,0.8,know
ballet,MC,block1,projective,2,14,Ballet is a type of dance,1280,3.7016833333333334,MC,,0.65,MC
josh,C,block1,projective,2,15,Josh is a 75-year old man,1290,3.7016833333333334,be_right,low_prior,0.79,be_right
