short_trigger,contentFact,Mean_prior,YMin_prior,YMax_prior,Mean_proj,YMin_proj,YMax_proj,Mean_ai,YMin_ai,YMax_ai
acknowledge,Charley speaks Spanish-factH,0.892,0.842,0.9420000000000001,0.364,0.03989999999999999,0.736,0.652,0.3355,0.886
acknowledge,Charley speaks Spanish-factL,0.22,0.08666666666666667,0.3584583333333332,0.625,0.426375,0.8316666666666667,0.8316666666666667,0.6799166666666667,0.9566666666666667
acknowledge,Danny ate the last cupcake-factH,0.7050000000000001,0.5,0.91,0.565,0.37,0.76,0.98,0.96,1
acknowledge,Danny ate the last cupcake-factL,0.22,0.11,0.36,0.4033333333333333,0.21,0.62,0.4766666666666666,0.24,0.87
acknowledge,Emily bought a car yesterday-factH,0.5422222222222223,0.39111111111111113,0.7067777777777776,0.4844444444444445,0.23333333333333334,0.7434166666666667,0.4588888888888889,0.21994444444444444,0.7111944444444445
acknowledge,Emily bought a car yesterday-factL,0.0975,0.045,0.195,0.3875,0.10999999999999999,0.665,0.5625,0.32000000000000006,0.805
acknowledge,Emma studied on Saturday morning-factH,0.5742857142857143,0.42000000000000004,0.7215,0.7528571428571429,0.6385714285714286,0.8828571428571429,0.64,0.3542857142857143,0.9014285714285714
acknowledge,Emma studied on Saturday morning-factL,0.3625,0.10499999999999998,0.62,0.74,0.5800000000000001,0.905,0.7175,0.39249999999999996,0.895
acknowledge,Frank got a cat-factH,0.495,0.4066666666666667,0.5733333333333334,0.5483333333333333,0.245,0.8433749999999999,0.7433333333333334,0.43325,0.965
acknowledge,Frank got a cat-factL,0.022,0.005999999999999998,0.038,0.368,0.17400000000000002,0.636,0.436,0.10800000000000004,0.764
acknowledge,Grace visited her sister-factH,0.70875,0.59875,0.8150312499999999,0.60625,0.34621874999999996,0.8624999999999999,0.66625,0.39496875000000004,0.90128125
acknowledge,Grace visited her sister-factL,0.2866666666666667,0.25,0.335,0.6866666666666666,0.455,0.895,0.6166666666666667,0.40166666666666667,0.8316666666666667
acknowledge,Isabella ate a steak on Sunday-factH,0.605,0.5,0.8,0.54,0.1925,0.84,0.51,0.10750000000000004,0.825
acknowledge,Isabella ate a steak on Sunday-factL,0.045714285714285714,0.018571428571428572,0.07571428571428572,0.6228571428571429,0.3628214285714285,0.8657142857142857,0.5871428571428571,0.32857142857142857,0.808642857142857
acknowledge,Jackson ran 10 miles-factH,0.95,0.95,0.95,0.81,0.81,0.81,0.24,0.24,0.24
acknowledge,Jackson ran 10 miles-factL,0.11888888888888889,0.02333333333333333,0.2578055555555555,0.5166666666666667,0.28661111111111115,0.7466944444444444,0.5744444444444444,0.3466666666666667,0.7822222222222222
acknowledge,Jayden rented a car-factH,0.734,0.442,0.9339999999999999,0.606,0.322,0.85,0.23600000000000002,0.07200000000000004,0.4
acknowledge,Jayden rented a car-factL,0.02375,0.0024999999999999988,0.05625,0.485,0.17374999999999996,0.7725,0.7475,0.5887500000000001,0.8925312499999999
acknowledge,Jon walks to work-factH,0.914,0.7999999999999999,0.99,0.902,0.732,0.996,0.822,0.608,0.992
acknowledge,Jon walks to work-factL,0.195,0.10118750000000001,0.2938125,0.5625,0.327375,0.7950312500000001,0.39749999999999996,0.15996874999999997,0.6313124999999999
acknowledge,Josh learned to ride a bike yesterday-factH,0.59,0.5116666666666667,0.683375,0.82,0.6365,0.96,0.8183333333333334,0.6899166666666666,0.9433333333333334
acknowledge,Josh learned to ride a bike yesterday-factL,0.29333333333333333,0.16329166666666667,0.43,0.3466666666666667,0.08999999999999997,0.6566666666666666,0.7366666666666667,0.5466666666666666,0.8866666666666666
acknowledge,Josie went on vacation to France-factH,0.6466666666666667,0.4887222222222222,0.7978055555555555,0.6088888888888889,0.4632777777777778,0.7533888888888889,0.5477777777777778,0.28883333333333333,0.7822222222222222
acknowledge,Josie went on vacation to France-factL,0.034,0.02,0.048,0.368,0.09599999999999997,0.6822999999999997,0.6,0.32400000000000007,0.876
