short_trigger,contentFact,Mean_prior,YMin_prior,YMax_prior,Mean_proj,YMin_proj,YMax_proj,Mean_ai,YMin_ai,YMax_ai
be right,Josh learned to ride a bike yesterday-factH,0.5455555555555556,0.3777222222222222,0.7055833333333333,0.20111111111111113,0.07550000000000001,0.3655833333333333,0.07555555555555557,0.025555555555555567,0.14225000000000002
be right,Josh learned to ride a bike yesterday-factL,0.31,0.11499999999999999,0.585,0.4225,0.13850000000000007,0.7050000000000001,0.405,0.16500000000000004,0.785
be right,Josie went on vacation to France-factH,0.7125,0.62,0.8049999999999999,0.335,0.05249999999999999,0.575,0.25749999999999995,0.06,0.5531249999999994
be right,Josie went on vacation to France-factL,0.09454545454545456,0.01090909090909091,0.24,0.17363636363636364,0.08361363636363636,0.2709318181818182,0.16999999999999998,0.057181818181818195,0.3218181818181818
be right,Julian dances salsa-factH,0.585,0.51875,0.6488124999999998,0.195,0.04374999999999998,0.3875,0.06750000000000002,0.01750000000000001,0.12878124999999999
be right,Julian dances salsa-factL,0.3385714285714286,0.2057142857142857,0.5029285714285714,0.24714285714285716,0.08142857142857143,0.41714285714285715,0.1985714285714286,0.02996428571428572,0.5014642857142857
be right,Mary is pregnant-factH,0.8566666666666667,0.63,1,0.5,0.12,0.85,0.11000000000000001,0.009999999999999995,0.17000000000000004
be right,Mary is pregnant-factL,0.12000000000000001,0.035,0.21750000000000003,0.085,0.03,0.13,0.10999999999999999,0.015000000000000013,0.24749999999999997
be right,Mia drank 2 cocktails last night-factH,0.542,0.5,0.582,0.36,0.17200000000000001,0.548,0.334,0.028000000000000025,0.658
be right,Mia drank 2 cocktails last night-factL,0.16333333333333333,0.09666666666666666,0.23666666666666666,0.185,0.08,0.29,0.023333333333333352,0.005000000000000001,0.0416666666666667
be right,Olivia sleeps until noon-factH,0.5966666666666667,0.13,0.87,0.31333333333333335,0.020000000000000018,0.81,0.23,0.18000000000000005,0.32999999999999996
be right,Olivia sleeps until noon-factL,0.384,0.13,0.654,0.312,0.01200000000000001,0.616,0.31,0.068,0.562
be right,Owen shoveled snow last winter-factH,0.7133333333333334,0.5116666666666667,0.8866666666666667,0.3,0.08666666666666667,0.525,0.07499999999999998,0.018291666666666664,0.14166666666666664
be right,Owen shoveled snow last winter-factL,0.252,0.062,0.514,0.504,0.198,0.8081499999999999,0.16,0.04600000000000001,0.28
be right,Sophia got a tattoo-factH,0.619090909090909,0.5499772727272726,0.6972954545454546,0.29363636363636364,0.06361363636363637,0.5536363636363636,0.16545454545454547,0.06181818181818183,0.28545454545454546
be right,Sophia got a tattoo-factL,0.1825,0.10750000000000001,0.2575,0.05,0,0.1275,0.2425,0.0050000000000000044,0.7025
be right,Tony had a drink last night-factH,0.77,0.7224999999999999,0.8375,0.2375,0.057499999999999996,0.5525,0.315,0.05499999999999999,0.745
be right,Tony had a drink last night-factL,0.0625,0.010000000000000002,0.115,0.14,0.024999999999999994,0.33749999999999997,0.027500000000000017,0.010000000000000005,0.04000000000000003
be right,Zoe calculated the tip-factH,0.7757142857142857,0.6114285714285714,0.9228571428571428,0.22857142857142856,0.06989285714285715,0.44157142857142845,0.09571428571428571,0.01571428571428571,0.20714285714285713
be right,Zoe calculated the tip-factL,0.095,0.044000000000000004,0.158025,0.27899999999999997,0.096975,0.47404999999999997,0.07999999999999999,0.010000000000000009,0.18207499999999993
confess,Charley speaks Spanish-factH,1,1,1,0.81,0.81,0.81,0.86,0.86,0.86
confess,Charley speaks Spanish-factL,0.3757142857142857,0.2571428571428571,0.48,0.6971428571428572,0.56,0.8314285714285714,0.6257142857142857,0.4213214285714285,0.8128571428571428
confess,Danny ate the last cupcake-factH,0.58,0.4714285714285714,0.6828928571428571,0.5857142857142857,0.3399642857142857,0.8128571428571428,0.35714285714285715,0.12992857142857145,0.6329285714285714
confess,Danny ate the last cupcake-factL,0.20454545454545456,0.15454545454545454,0.2600227272727273,0.36454545454545456,0.21090909090909093,0.544590909090909,0.3054545454545454,0.13725,0.4964090909090909
confess,Emily bought a car yesterday-factH,0.4490909090909091,0.32265909090909095,0.5836818181818182,0.629090909090909,0.41631818181818186,0.8091136363636363,0.6809090909090909,0.5008863636363636,0.84
confess,Emily bought a car yesterday-factL,0.08636363636363636,0.03543181818181818,0.1482272727272727,0.52,0.32997727272727273,0.7118636363636363,0.6572727272727272,0.4609090909090909,0.8527499999999999
