short_trigger,contentFact,Mean_prior,YMin_prior,YMax_prior,Mean_proj,YMin_proj,YMax_proj,Mean_ai,YMin_ai,YMax_ai
acknowledge,Charley speaks Spanish-factH,0.8008333333333333,0.661625,0.9075,0.47583333333333333,0.2506666666666667,0.6933541666666667,0.6058333333333333,0.3874375,0.7933749999999999
acknowledge,Charley speaks Spanish-factL,0.2946153846153846,0.1891923076923077,0.3892307692307692,0.6446153846153846,0.43998076923076923,0.8200192307692308,0.9007692307692308,0.8245769230769231,0.9638653846153845
acknowledge,Danny ate the last cupcake-factH,0.691,0.612,0.779,0.557,0.33995000000000003,0.7460249999999999,0.731,0.522,0.9061499999999999
acknowledge,Danny ate the last cupcake-factL,0.21181818181818182,0.15088636363636362,0.27456818181818177,0.4081818181818182,0.24811363636363637,0.581840909090909,0.6518181818181819,0.44815909090909095,0.8345681818181817
acknowledge,Emily bought a car yesterday-factH,0.544,0.42328333333333334,0.6666833333333333,0.5206666666666667,0.36463333333333336,0.6754,0.45333333333333337,0.26266666666666666,0.6353666666666665
acknowledge,Emily bought a car yesterday-factL,0.08454545454545455,0.03634090909090909,0.1481818181818182,0.5118181818181818,0.2817954545454545,0.7164999999999998,0.6136363636363636,0.4190909090909091,0.8155
acknowledge,Emma studied on Saturday morning-factH,0.5963636363636364,0.4707954545454545,0.7063863636363638,0.6790909090909091,0.5445000000000001,0.7946136363636362,0.59,0.3917954545454545,0.8018181818181818
acknowledge,Emma studied on Saturday morning-factL,0.20230769230769233,0.09153846153846153,0.34001923076923074,0.5923076923076923,0.3838076923076923,0.7776923076923077,0.7384615384615385,0.5491923076923076,0.8892307692307693
acknowledge,Frank got a cat-factH,0.5355555555555556,0.46108333333333335,0.6066666666666667,0.5288888888888889,0.2755,0.7833888888888888,0.6933333333333334,0.38436111111111115,0.9267777777777777
acknowledge,Frank got a cat-factL,0.06545454545454546,0.025454545454545452,0.11181818181818182,0.45,0.26636363636363636,0.6563863636363637,0.59,0.3535909090909091,0.8118181818181818
acknowledge,Grace visited her sister-factH,0.7376923076923076,0.6638269230769231,0.802326923076923,0.6646153846153846,0.47846153846153844,0.8285,0.6630769230769231,0.45301923076923073,0.8530769230769231
acknowledge,Grace visited her sister-factL,0.2630769230769231,0.19228846153846155,0.34153846153846157,0.6053846153846154,0.44144230769230774,0.7577692307692308,0.4876923076923077,0.3099807692307693,0.6707692307692308
acknowledge,Isabella ate a steak on Sunday-factH,0.5136363636363637,0.44543181818181815,0.6036590909090909,0.49,0.2981590909090909,0.6782045454545453,0.4363636363636364,0.2545,0.6391136363636364
