short_trigger,contentFact,Mean_proj,YMin_proj,YMax_proj,Mean_ai,YMin_ai,YMax_ai
acknowledge,Charley speaks Spanish-factH,0.975,0.95,0.995,0.825,0.49333333333333335,0.9966666666666667
acknowledge,Charley speaks Spanish-factL,0.59,0.30833333333333335,0.855,0.53,0.18000000000000005,0.845
acknowledge,Danny ate the last cupcake-factH,0.715,0.41000000000000003,0.9266666666666666,0.7266666666666667,0.45333333333333337,0.9266666666666666
acknowledge,Danny ate the last cupcake-factL,0.2866666666666667,0.09000000000000002,0.5783333333333334,0.725,0.4033333333333333,0.97
acknowledge,Emily bought a car yesterday-factH,0.32833333333333337,0.05833333333333335,0.6066666666666667,0.56,0.21166666666666667,0.865
acknowledge,Emily bought a car yesterday-factL,0.5725,0.3186875,0.78125,0.70875,0.40490624999999997,0.94
acknowledge,Emma studied on Saturday morning-factH,0.552,0.25,0.85,0.7999999999999999,0.60595,0.994
acknowledge,Emma studied on Saturday morning-factL,0.69875,0.485,0.8638125,0.6975,0.41234375000000006,0.9276249999999998
acknowledge,Frank got a cat-factH,0.76,0.5487500000000001,0.93003125,0.91125,0.84746875,0.9662499999999999
acknowledge,Frank got a cat-factL,0.29800000000000004,0.10600000000000001,0.5,0.5579999999999999,0.27599999999999997,0.845099999999999
acknowledge,Grace visited her sister-factH,0.7322222222222222,0.59,0.8511944444444445,0.5744444444444444,0.3288888888888889,0.8169444444444441
acknowledge,Grace visited her sister-factL,0.75125,0.5761875,0.91875,0.8075,0.5637187499999999,0.96625
acknowledge,Isabella ate a steak on Sunday-factH,0.5533333333333333,0.36164583333333333,0.7341874999999999,0.565,0.4016458333333333,0.7275208333333333
acknowledge,Isabella ate a steak on Sunday-factL,0.552,0.288,0.826,0.69,0.432,0.946
acknowledge,Jackson ran 10 miles-factH,0.8783333333333333,0.775,0.98,0.6883333333333334,0.36833333333333335,0.9474999999999992
acknowledge,Jackson ran 10 miles-factL,0.35,0,1,0.6833333333333333,0.13,1
acknowledge,Jayden rented a car-factH,0.5888888888888889,0.3310833333333333,0.8389722222222221,0.7999999999999999,0.5844166666666667,0.9456111111111111
acknowledge,Jayden rented a car-factL,0.355,0.06746875000000002,0.65503125,0.6,0.32621875000000006,0.835
acknowledge,Jon walks to work-factH,0.8033333333333333,0.49,0.97,0.66,0.040000000000000036,0.99
acknowledge,Jon walks to work-factL,0.5569999999999999,0.364975,0.733,0.638,0.400875,0.84105
acknowledge,Josh learned to ride a bike yesterday-factH,0.7985714285714286,0.6442857142857142,0.9342857142857143,0.7271428571428571,0.5283571428571429,0.9128928571428571
acknowledge,Josh learned to ride a bike yesterday-factL,0.77,0.5221666666666667,0.9666666666666667,0.7144444444444444,0.4541944444444444,0.9356111111111112
acknowledge,Josie went on vacation to France-factH,0.815,0.69,0.94,1,1,1
acknowledge,Josie went on vacation to France-factL,0.2533333333333333,0,0.76,0.8466666666666667,0.6,1
acknowledge,Julian dances salsa-factH,0.6025,0.3075,0.825,0.6275,0.2625,0.87
acknowledge,Julian dances salsa-factL,0.39,0.36,0.42,0.385,0.12,0.65
acknowledge,Mary is pregnant-factH,0.872,0.77,0.96605,0.716,0.43599999999999994,0.9228499999999993
acknowledge,Mary is pregnant-factL,0.75,0.75,0.75,0.74,0.74,0.74
acknowledge,Mia drank 2 cocktails last night-factH,0.674,0.477975,0.8370249999999999,0.545,0.317925,0.7530749999999999
acknowledge,Mia drank 2 cocktails last night-factL,0.6125,0.4299791666666667,0.7733541666666666,0.67,0.4716041666666667,0.845
acknowledge,Olivia sleeps until noon-factH,0.59875,0.30625,0.865,0.6675,0.4124375,0.9114062499999999
acknowledge,Olivia sleeps until noon-factL,0.386,0.028000000000000025,0.744,0.608,0.23399999999999999,0.982
acknowledge,Owen shoveled snow last winter-factH,0.5233333333333333,0.020000000000000018,0.99,0.5566666666666666,0.15000000000000002,1
acknowledge,Owen shoveled snow last winter-factL,0.7,0.445,0.8960624999999991,0.7875,0.5175000000000001,0.9650000000000001
acknowledge,Sophia got a tattoo-factH,0.7225,0.245,0.99,0.4075,0,0.8575
acknowledge,Sophia got a tattoo-factL,0.41000000000000003,0.135,0.6,0.6174999999999999,0.28500000000000003,0.8925
acknowledge,Tony had a drink last night-factH,0.4342857142857143,0.19853571428571426,0.6542857142857142,0.6942857142857143,0.49421428571428566,0.9043214285714285
acknowledge,Tony had a drink last night-factL,0.22428571428571428,0.05996428571428572,0.4442857142857143,0.41285714285714287,0.17142857142857143,0.6687142857142856
acknowledge,Zoe calculated the tip-factH,0.38,0.07,0.69,0.89,0.86,0.92
acknowledge,Zoe calculated the tip-factL,0.204,0.06995000000000001,0.38999999999999996,0.764,0.48364999999999997,0.97
admit,Charley speaks Spanish-factH,0.4825,0.16499999999999998,0.8,0.965,0.9400000000000001,0.99
admit,Charley speaks Spanish-factL,0.446,0.22887500000000002,0.6960999999999998,0.791,0.589925,0.951
admit,Danny ate the last cupcake-factH,0.56375,0.26996875000000004,0.8189374999999998,0.77125,0.52125,0.99128125
admit,Danny ate the last cupcake-factL,0.30142857142857143,0.06267857142857144,0.5985714285714285,0.6271428571428571,0.26564285714285707,0.9042857142857142
admit,Emily bought a car yesterday-factH,0.53,0.3311875,0.73503125,0.57375,0.32243750000000004,0.79128125
admit,Emily bought a car yesterday-factL,0.31833333333333336,0.11333333333333334,0.605,0.47500000000000003,0.22325,0.7451249999999999
admit,Emma studied on Saturday morning-factH,0.18,0.031666666666666676,0.33999999999999997,0.35333333333333333,0.10325000000000001,0.6484583333333331
admit,Emma studied on Saturday morning-factL,0.4325,0.125,0.8075,0.65,0.23250000000000004,0.9325
admit,Frank got a cat-factH,0.3211111111111111,0.12666666666666668,0.5489166666666666,0.6688888888888889,0.4333333333333333,0.8666944444444444
admit,Frank got a cat-factL,0.515,0.15000000000000002,0.88,0.72,0.6175,0.8125
admit,Grace visited her sister-factL,0.7033333333333334,0.5133333333333333,0.8933333333333333,0.5933333333333333,0.36,1
admit,Isabella ate a steak on Sunday-factH,0.5616666666666666,0.25,0.8267916666666666,0.4766666666666667,0.2366666666666667,0.7466666666666666
admit,Isabella ate a steak on Sunday-factL,0.29400000000000004,0.038000000000000034,0.552,0.688,0.42800000000000005,0.9279999999999999
admit,Jackson ran 10 miles-factH,0.6283333333333333,0.33,0.8683333333333333,0.7283333333333334,0.5683333333333334,0.885
admit,Jackson ran 10 miles-factL,0.006666666666666666,0,0.02,0.42333333333333334,0,0.98
admit,Jayden rented a car-factH,0.6375,0.325,0.9504999999999995,0.5525,0.185,0.9199999999999999
admit,Jayden rented a car-factL,0.6214285714285714,0.34564285714285714,0.8928928571428572,0.6614285714285715,0.28571428571428575,0.9357142857142857
admit,Jon walks to work-factH,0.730909090909091,0.5299772727272728,0.8854772727272727,0.7763636363636364,0.5844318181818182,0.9299999999999999
admit,Jon walks to work-factL,0.3985714285714286,0.13857142857142857,0.7128928571428571,0.63,0.34850000000000003,0.8714285714285714
admit,Josh learned to ride a bike yesterday-factH,0.37,0.11499999999999999,0.6417083333333333,0.5700000000000001,0.32983333333333337,0.7966666666666666
admit,Josh learned to ride a bike yesterday-factL,0.3075,0.025000000000000022,0.605,0.3525,0.07750000000000001,0.79
admit,Josie went on vacation to France-factH,0.41333333333333333,0.1565833333333333,0.705,0.6466666666666666,0.326625,0.9266666666666666
admit,Josie went on vacation to France-factL,0.31666666666666665,0.11333333333333334,0.61,0.48333333333333334,0.22666666666666663,0.7317083333333333
admit,Julian dances salsa-factH,0.5271428571428571,0.2513571428571429,0.7842857142857143,0.5971428571428571,0.3213928571428572,0.8385714285714285
admit,Julian dances salsa-factL,0.24500000000000002,0.010000000000000009,0.535,0.41833333333333333,0.1333333333333333,0.7466666666666667
admit,Mary is pregnant-factH,0.5966666666666667,0.3443888888888889,0.8389166666666666,0.5855555555555555,0.4011111111111111,0.77225
admit,Mary is pregnant-factL,0.434,0.07800000000000001,0.782,0.788,0.394,0.992
admit,Mia drank 2 cocktails last night-factH,0.81,0.722,0.888,0.84,0.602,0.986
admit,Mia drank 2 cocktails last night-factL,0.37875000000000003,0.1375,0.6675,0.66875,0.43487500000000007,0.8764062499999998
admit,Olivia sleeps until noon-factH,0.39,0.209125,0.5841666666666666,0.5033333333333333,0.3266458333333333,0.6733541666666666
admit,Olivia sleeps until noon-factL,0.596,0.428,0.8,0.6799999999999999,0.494,0.8542499999999997
admit,Owen shoveled snow last winter-factH,0.764,0.648,0.892,0.708,0.522,0.866
admit,Owen shoveled snow last winter-factL,0.4033333333333333,0.15333333333333335,0.6416666666666666,0.635,0.42,0.8133333333333334
admit,Sophia got a tattoo-factH,0.5336363636363637,0.3790454545454546,0.7018409090909091,0.6281818181818182,0.4063409090909091,0.8463863636363635
admit,Sophia got a tattoo-factL,0.37,0.06333333333333335,0.6919166666666664,0.4533333333333333,0.13,0.7816666666666666
