short_trigger,contentFact,Mean_proj,YMin_proj,YMax_proj,Mean_ai.x,YMin_ai.x,YMax_ai.x,Mean_ai.y,YMin_ai.y,YMax_ai.y
acknowledge,Charley speaks Spanish-factH,0.68125,0.45246875000000003,0.90625,0.5975,0.34996875,0.835,0.5975,0.34996875,0.835
acknowledge,Charley speaks Spanish-factL,0.884,0.788,0.967,0.669,0.484,0.857,0.669,0.484,0.857
acknowledge,Danny ate the last cupcake-factH,0.745,0.6675,0.8475,0.7324999999999999,0.4775,0.9254374999999997,0.7324999999999999,0.4775,0.9254374999999997
acknowledge,Danny ate the last cupcake-factL,0.623,0.475975,0.756,0.512,0.285875,0.7411249999999999,0.512,0.285875,0.7411249999999999
acknowledge,Emily bought a car yesterday-factH,0.766,0.52,0.938,0.804,0.472,0.99,0.804,0.472,0.99
acknowledge,Emily bought a car yesterday-factL,0.228,0.053900000000000003,0.49424999999999975,0.598,0.346,0.85,0.598,0.346,0.85
acknowledge,Emma studied on Saturday morning-factH,0.66625,0.5225,0.81,0.66375,0.4224375,0.8738124999999999,0.66375,0.4224375,0.8738124999999999
acknowledge,Emma studied on Saturday morning-factL,0.51875,0.2874375,0.76,0.54375,0.23375,0.8012812500000001,0.54375,0.23375,0.8012812500000001
acknowledge,Frank got a cat-factH,0.6842857142857143,0.48428571428571426,0.8714642857142857,0.7585714285714286,0.5057142857142858,0.9557142857142857,0.7585714285714286,0.5057142857142858,0.9557142857142857
acknowledge,Frank got a cat-factL,0.614,0.384,0.79,0.556,0.352,0.798,0.556,0.352,0.798
acknowledge,Grace visited her sister-factH,0.57625,0.25,0.83878125,0.67875,0.390875,0.9375312499999999,0.67875,0.390875,0.9375312499999999
acknowledge,Grace visited her sister-factL,0.51,0,0.87,0.6933333333333334,0.18000000000000005,1,0.6933333333333334,0.18000000000000005,1
acknowledge,Isabella ate a steak on Sunday-factH,0.6611111111111111,0.41444444444444445,0.8989166666666666,0.7766666666666667,0.5543888888888888,0.9455555555555556,0.7766666666666667,0.5543888888888888,0.9455555555555556
acknowledge,Isabella ate a steak on Sunday-factL,0.45333333333333337,0.12666666666666665,0.8300000000000001,0.4766666666666667,0.16666666666666669,0.79,0.4766666666666667,0.16666666666666669,0.79
acknowledge,Jackson ran 10 miles-factH,0.755,0.51,1,0.99,0.98,1,0.99,0.98,1
acknowledge,Jackson ran 10 miles-factL,0.49,0.19333333333333336,0.8316666666666667,0.7866666666666666,0.556375,0.9833333333333333,0.7866666666666666,0.556375,0.9833333333333333
acknowledge,Jayden rented a car-factH,0.614,0.3419,0.892,0.492,0.09399999999999997,0.892,0.492,0.09399999999999997,0.892
acknowledge,Jayden rented a car-factL,0.86,0.6057142857142856,0.9928571428571429,0.6185714285714285,0.30389285714285713,0.9028571428571428,0.6185714285714285,0.30389285714285713,0.9028571428571428
acknowledge,Jon walks to work-factH,0.56,0.3371071428571428,0.7558214285714284,0.66,0.4957142857142857,0.8328571428571429,0.66,0.4957142857142857,0.8328571428571429
acknowledge,Jon walks to work-factL,0.6283333333333333,0.469625,0.7666666666666666,0.8016666666666666,0.6066666666666667,0.955,0.8016666666666666,0.6066666666666667,0.955
acknowledge,Josh learned to ride a bike yesterday-factH,0.505,0.366975,0.6240749999999999,0.585,0.393,0.757,0.585,0.393,0.757
acknowledge,Josh learned to ride a bike yesterday-factL,0.689,0.51695,0.8470249999999999,0.436,0.20495000000000002,0.649,0.436,0.20495000000000002,0.649
acknowledge,Josie went on vacation to France-factH,0.906,0.824,0.972,0.766,0.404,0.996,0.766,0.404,0.996
acknowledge,Josie went on vacation to France-factL,0.17599999999999996,0.0040000000000000036,0.506,0.9420000000000001,0.866,0.996,0.9420000000000001,0.866,0.996
acknowledge,Julian dances salsa-factH,0.6779999999999999,0.39199999999999996,0.9259999999999999,0.728,0.356,0.9440999999999998,0.728,0.356,0.9440999999999998
acknowledge,Julian dances salsa-factL,0.455,0.22115625,0.6650625,0.49375,0.25118749999999995,0.7475625,0.49375,0.25118749999999995,0.7475625
acknowledge,Mary is pregnant-factH,0.9042857142857142,0.7685714285714286,0.9928571428571429,0.8314285714285714,0.58,0.9771428571428571,0.8314285714285714,0.58,0.9771428571428571
acknowledge,Mary is pregnant-factL,0.3933333333333333,0.010000000000000009,0.91,0.42666666666666664,0.14,0.86,0.42666666666666664,0.14,0.86
acknowledge,Mia drank 2 cocktails last night-factH,0.6116666666666667,0.2965833333333333,0.9299999999999999,0.545,0.20495833333333335,0.8633333333333333,0.545,0.20495833333333335,0.8633333333333333
acknowledge,Mia drank 2 cocktails last night-factL,0.438,0.04999999999999999,0.826,0.544,0.244,0.8,0.544,0.244,0.8
acknowledge,Olivia sleeps until noon-factH,0.6942857142857143,0.5542857142857143,0.8485714285714285,0.6471428571428571,0.3826785714285714,0.88,0.6471428571428571,0.3826785714285714,0.88
acknowledge,Olivia sleeps until noon-factL,0.2671428571428572,0.03425,0.5457857142857142,0.4,0.18135714285714286,0.6086071428571428,0.4,0.18135714285714286,0.6086071428571428
acknowledge,Owen shoveled snow last winter-factH,0.675,0.41000000000000003,0.89,0.62,0.29833333333333334,0.9366666666666666,0.62,0.29833333333333334,0.9366666666666666
acknowledge,Owen shoveled snow last winter-factL,0.8400000000000001,0.79,0.89,0.51,0.020000000000000018,1,0.51,0.020000000000000018,1
acknowledge,Sophia got a tattoo-factH,0.6288888888888888,0.3864444444444445,0.8377777777777777,0.8433333333333334,0.6655555555555556,0.9622222222222222,0.8433333333333334,0.6655555555555556,0.9622222222222222
acknowledge,Sophia got a tattoo-factL,0.56,0.314,0.8059999999999999,0.736,0.572,0.87,0.736,0.572,0.87
acknowledge,Tony had a drink last night-factH,0.6625,0.3375,0.91,0.6625,0.365,0.96,0.6625,0.365,0.96
acknowledge,Tony had a drink last night-factL,0.59375,0.41000000000000003,0.7787812500000001,0.47875,0.25496875,0.715,0.47875,0.25496875,0.715
acknowledge,Zoe calculated the tip-factH,0.5471428571428572,0.29714285714285715,0.7844285714285713,0.6214285714285714,0.36546428571428574,0.8357857142857142,0.6214285714285714,0.36546428571428574,0.8357857142857142
acknowledge,Zoe calculated the tip-factL,0.65,0.43892499999999995,0.8360249999999999,0.483,0.26197499999999996,0.73405,0.483,0.26197499999999996,0.73405
admit,Charley speaks Spanish-factH,0.6957142857142857,0.46714285714285714,0.8828571428571429,0.6285714285714286,0.37703571428571425,0.8528571428571429,0.6285714285714286,0.37703571428571425,0.8528571428571429
admit,Charley speaks Spanish-factL,0.5345454545454545,0.33361363636363633,0.7436363636363637,0.7481818181818182,0.5917954545454545,0.8845681818181818,0.7481818181818182,0.5917954545454545,0.8845681818181818
admit,Danny ate the last cupcake-factH,0.7328571428571429,0.46571428571428575,0.9328571428571428,0.4328571428571429,0.12571428571428572,0.7402499999999997,0.4328571428571429,0.12571428571428572,0.7402499999999997
admit,Danny ate the last cupcake-factL,0.30000000000000004,0.06333333333333332,0.5800833333333332,0.4816666666666667,0.2283333333333334,0.7566666666666667,0.4816666666666667,0.2283333333333334,0.7566666666666667
admit,Emily bought a car yesterday-factH,0.54,0.38449999999999995,0.6963636363636364,0.31090909090909086,0.17636363636363636,0.44638636363636364,0.31090909090909086,0.17636363636363636,0.44638636363636364
admit,Emily bought a car yesterday-factL,0.5055555555555555,0.25883333333333325,0.7577777777777778,0.6255555555555555,0.36991666666666667,0.8755555555555555,0.6255555555555555,0.36991666666666667,0.8755555555555555
